run,sample_id,official_win,exec_v2_reward,cap_applied,final_answer_pass,executable_trajectory,tool_use_completeness,valid_references,num_successful_calls,num_extra_calls,abl_final_only,abl_final_executable,abl_final_exec_refs,abl_full
partial_s1_e4_react,87357303-b2c2-4c34-8a51-5c2755de4fe4,1.0,0.97,,1.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,0.97
partial_s1_e4_react,2effd81d-6cc7-4291-a06f-ad803a993312,1.0,0.25,too_few_calls_wrong_answer,0.0,1.0,0.125,1.0,1,0,0.0,0.266667,0.352941,0.25
partial_s1_e4_react,0feb53d5-e450-4a1e-b0ad-13bc7097a92e,0.0,0.25,too_few_calls_wrong_answer,0.0,1.0,0.4167,1.0,5,0,0.0,0.266667,0.352941,0.25
partial_s1_e4_react,7b3350cb-29e2-4d24-b613-86c87c459b56,1.0,1.0,,1.0,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0
partial_s1_e4_react,790c3f9b-0ecb-4a1a-b2ca-bc0bbf83335b,1.0,0.866667,,1.0,1.0,0.1667,1.0,1,0,1.0,1.0,1.0,0.866667
partial_s1_e4_react,96b854ff-3f52-4295-8a93-bfe204a4469b,1.0,0.859091,,1.0,1.0,0.0909,1.0,1,0,1.0,1.0,1.0,0.859091
partial_s1_e4_react,c9828beb-8c3c-4ecd-8fd4-0795eec10f73,0.0,0.25,too_few_calls_wrong_answer,0.0,1.0,0.5,1.0,1,0,0.0,0.266667,0.352941,0.25
partial_s1_e4_react,2e458b03-c3d8-4794-8fc6-25f505ecbdc1,1.0,0.883333,,1.0,1.0,0.3333,1.0,1,0,1.0,1.0,1.0,0.883333
partial_s1_e4_react,77bb5969-f300-4f68-99d4-179bcd9ba304,1.0,1.0,,1.0,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0
partial_s1_e4_react,f9ebc5c7-fafb-4b4b-ae3f-8f4f10f5ca31,1.0,0.983333,,1.0,1.0,1.0,1.0,3,0,1.0,1.0,1.0,0.983333
partial_s1_e4_react,afa68574-5967-449d-88ec-ad7dbf49524e,0.0,0.966667,,1.0,1.0,1.0,1.0,3,0,1.0,1.0,1.0,0.966667
partial_s1_e4_react,4117385e-9a3b-4770-b562-279b65b0a135,1.0,0.966667,,1.0,1.0,1.0,1.0,3,0,1.0,1.0,1.0,0.966667
partial_s1_e4_react,ae7cc681-a44c-4143-8bf2-a2a9680acf0d,1.0,0.863636,,1.0,1.0,0.0909,1.0,1,0,1.0,1.0,1.0,0.863636
partial_s1_e4_react,54dcea4e-ec58-4a97-a7c7-f7c5e7396145,0.0,0.0,no_tool_call,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.117647,0.0
partial_s1_e4_react,176117a2-22ed-4802-9675-ef58e13cb518,1.0,1.0,,1.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0
partial_s1_e4_react,9c4c6a80-d210-46e3-bb30-8ab2ca8e8f3a,1.0,0.9,,1.0,1.0,0.3846,1.0,5,0,1.0,1.0,1.0,0.9
partial_s1_e4_react,f8d3c4a4-aeb8-4efb-baa6-cf8a6d36b330,0.0,1.0,,1.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0
partial_s1_e4_react,a335f79c-d1e2-4f67-a414-bf94fc53323b,0.0,0.35,not_final,0.0,1.0,1.0,1.0,3,0,0.0,0.266667,0.352941,0.35
partial_s1_e4_react,f6aa4233-451e-4e33-abe1-451a313b6fec,0.0,0.0,no_tool_call,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.117647,0.0
partial_s1_e4_react,15c44ed2-3566-4319-b273-97c4c86fee73,0.0,0.25,too_few_calls_wrong_answer,0.0,1.0,0.2,1.0,1,0,0.0,0.266667,0.352941,0.25
partial_s1_e4_react,e777b240-2ff0-4ec1-b9e1-eb656aaa8758,0.0,0.25,too_few_calls_wrong_answer,0.0,1.0,0.3333,1.0,1,0,0.0,0.266667,0.352941,0.25
partial_s1_e4_react,50bf739b-0f67-4b0e-9586-68baef74326a,1.0,0.9,,1.0,1.0,0.5,1.0,1,0,1.0,1.0,1.0,0.9
partial_s1_e4_react,577a4547-9566-49d5-a1f9-8ec7720aa38a,1.0,0.985,,1.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,0.985
partial_s1_e4_react,bf3b7001-69c4-45e7-8727-b9fd79149527,0.0,0.1,,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.117647,0.1
