category,sample_id,gold_num_calls,official_win,strict,partial,execution,final_answer_pass,exec_cap,num_successful_calls,pred_names,stop_reason,n_turns
exec_high_win0,afa68574-5967-449d-88ec-ad7dbf49524e,3,0.0,0.0,0.5333333333333333,0.9333333333333333,1.0,,3,divide|divide|divide,terminal,4
exec_high_win0,98cad833-bb80-4583-9158-b9d1984eec6e,2,0.0,0.0,0.7899999999999999,0.97,1.0,,2,hypotenuse_length|ode_model,terminal,3
exec_high_win0,18c1e7de-838f-402c-b0eb-92740963761e,2,0.0,1.0,1.0,1.0,1.0,,2,find_interval_distance|int_to_base_n,terminal,3
exec_high_win0,729c6e87-1e07-469d-9df2-301abb1bb172,3,0.0,1.0,1.0,1.0,1.0,,3,format_scalar|merge_and_override|random_key,terminal,4
exec_high_win0,d4346b01-3102-448b-a5c1-191cc401bd21,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,cube_integer_sum|hash_ascii_string,executor_error,2
exec_high_win0,ed9416d7-f389-44e7-8a8c-3b7b7f7e9561,2,0.0,0.0,0.3,0.825,1.0,,1,divide,terminal,2
exec_high_win0,9abbe8fb-bcc9-4ea6-91f9-e23c24cf0f60,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,make_json_string|tokenize_sentence,executor_error,2
exec_high_win0,000a5224-26c5-484b-948e-92df48c1b6af,2,0.0,1.0,1.0,1.0,1.0,,2,smallest_unused_number|format_line,terminal,3
exec_high_win0,a7688b81-3977-4139-958f-dde7f2ad50ce,2,0.0,1.0,1.0,1.0,1.0,,2,merge_recursive|wrap_text_with_tag,terminal,3
exec_high_win0,714d3faf-b9d9-42a7-95b5-610d47e43332,3,0.0,0.0,0.46333333333333326,0.7233333333333334,1.0,,1,subtract|divide,executor_error,2
exec_high_win0,c5b3ca75-d50d-4e5a-aab1-6f95491f4538,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,int_factorial|max_number,executor_error,2
exec_high_win0,c05709fb-667e-4fa6-b263-ec3a59cf1d37,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,replace_with_ascii|replace_brackets_with_ids,executor_error,2
exec_high_win0,b6835357-8b9f-4f3b-ad07-1b79d2ed2b44,2,0.0,0.0,0.43999999999999995,0.845,1.0,,1,generate_colors,terminal,2
