stage,epoch,num_tasks,strict_gold_trace_pass,final_answer_pass,zero_tool_calls,clipped_rate,off_f1_func,off_partial,off_full
1,1,609,0.34318555008210183,0.43349753694581283,0.1444991789819376,0.003284072249589491,0.759,0.256,0.0
1,2,609,0.361247947454844,0.4482758620689655,0.11658456486042693,0.003284072249589491,0.773,0.258,0.002
1,3,609,0.3563218390804598,0.4351395730706076,0.12643678160919541,0.003284072249589491,0.759,0.251,0.002
1,4,609,0.37766830870279144,0.4696223316912972,0.13793103448275862,0.0016420361247947454,0.787,0.262,0.002
2,1,407,0.14987714987714987,0.18181818181818182,0.27764127764127766,0.009828009828009828,0.698,0.102,0.002
2,3,407,0.11302211302211303,0.48894348894348894,0.2727272727272727,0.014742014742014743,0.798,0.1,0.0
2,4,407,0.09336609336609336,0.49385749385749383,0.2678132678132678,0.004914004914004914,0.78,0.106,0.0
3,1,250,0.012,0.44,0.228,0.004,0.546,0.032,0.0
3,2,250,0.008,0.32,0.224,0.004,0.396,0.031,0.0
3,3,250,0.0,0.168,0.236,0.004,0.397,0.038,0.0
4,1,32,0.0,0.15625,0.28125,0.0,0.478,0.013,0.0
4,2,173,0.0,0.08670520231213873,0.2254335260115607,0.017341040462427744,0.473,0.043,0.0
