motif_type,failure_type,baseline_count,model_count,delta
fan_in,motif_inconsistent_trace,2,0,-2
fan_in,no_tool_call,3,4,1
fan_in,too_few_calls,15,14,-1
fan_in,too_many_calls,3,3,0
independent_calls,motif_inconsistent_trace,1,1,0
independent_calls,no_tool_call,1,0,-1
independent_calls,too_few_calls,2,2,0
linear_dependency,executor_error,15,13,-2
linear_dependency,motif_inconsistent_trace,9,9,0
linear_dependency,no_tool_call,8,8,0
linear_dependency,too_few_calls,32,30,-2
linear_dependency,too_many_calls,7,8,1
linear_dependency,wrong_final_answer,3,3,0
long_chain,no_tool_call,3,4,1
long_chain,too_few_calls,58,56,-2
long_chain,too_many_calls,1,1,0
