run_id,stage,epoch,train_jsonl,base_model,lora,reward_policy,lr,kl_beta,num_generations,rollout_temp,rollout_top_p,seed,optimizer_steps,dead_group_rate,mixed_group_rate,n_unique_reward_values,too_few_calls_rate,avg_predicted_calls,dev_internal_win,dev_official_win,baseline_dev_internal_win,baseline_dev_official_win,baseline_same_run
20260702_112150,stage_1,epoch_1,/workspace/Tool-R0/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260702_112150/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v2_1_motif,5e-07,0.15,4,0.7,0.95,42,64,0.3885,0.0,,,,0.6,0.54,0.615,0.555,True
20260702_112150,stage_1,epoch_2,/workspace/Tool-R0/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260702_112150/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v2_1_motif,5e-07,0.15,4,0.7,0.95,42,64,0.3933,0.0,,,,0.64,0.575,0.615,0.555,True
20260702_112150,stage_2,epoch_1,/workspace/Tool-R0/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260702_112150/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v2_1_motif,5e-07,0.15,4,0.7,0.95,42,51,0.6859,0.0031,,,,0.6,0.545,0.615,0.555,True
20260702_112150,stage_2,epoch_2,/workspace/Tool-R0/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260702_112150/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v2_1_motif,5e-07,0.15,4,0.7,0.95,42,52,0.6797,0.0,,,,0.565,0.53,0.615,0.555,True
0260703_145219_v3_1,stage_1,epoch_1,/20260703_145219_v3_1/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,4,0.7,0.95,42,0,1.0,0.0,,,,0.605,0.565,0.615,0.56,True
0260703_145219_v3_1,stage_1,epoch_2,/20260703_145219_v3_1/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,4,0.7,0.95,42,0,1.0,0.0,,,,0.605,0.565,0.615,0.56,True
0260703_145219_v3_1,stage_2,epoch_1,/20260703_145219_v3_1/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,4,0.7,0.95,42,89,0.7781,0.0013,,,,0.6,0.53,0.615,0.56,True
0260703_145219_v3_1,stage_2,epoch_2,/20260703_145219_v3_1/data_base/epoch_1_1call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,4,0.7,0.95,42,89,0.7781,0.0019,,,,0.565,0.51,0.615,0.56,True
20260707_103035_v3_1,stage_2,epoch_1,/workspace/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260707_103035_v3_1/data_base/epoch_2_2call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,8,1.0,0.95,42,50,0.87625,0.9062,18,0.437890625,1.36078125,0.59,0.535,0.625,0.57,True
20260707_152750_v3_1,stage_2,epoch_1,/workspace/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260707_152750_v3_1/data_base/epoch_2_2call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,8,1.0,0.95,42,29,0.855,0.9387,16,0.5584375,1.43828125,0.6,0.545,0.625,0.57,True
20260707_183801_v3_1,stage_2,epoch_1,/workspace/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260707_183801_v3_1/data_base/epoch_2_2call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,8,1.0,0.95,42,32,0.84375,0.7788,17,0.5553125,1.44375,0.575,0.515,0.605,0.535,True
20260708_212347_v3_1,stage_3,epoch_1,/workspace/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260708_212347_v3_1/data_base/epoch_3_3call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,8,1.0,0.95,42,59,0.70875,0.9575,17,0.4178125,2.18203125,0.605,0.545,0.635,0.565,True
20260708_212347_v3_1,stage_3,epoch_2,/workspace/Tool-R0/experiments/nestful_synthetic_curriculum_v3/outputs/runs/20260708_212347_v3_1/data_base/epoch_3_3call.jsonl,Qwen/Qwen3-4B-Instruct-2507,r16/a32,execution_aware_v3_1_stepwise,5e-07,0.15,8,1.0,0.95,42,71,0.64625,0.97,17,0.4140625,2.19765625,0.595,0.535,0.635,0.565,True
