motif_type,failure_type,baseline_count,model_count,delta
fan_in,executor_error,1,0,-1
fan_in,motif_inconsistent_trace,1,1,0
fan_in,no_tool_call,3,4,1
fan_in,too_few_calls,16,15,-1
fan_in,too_many_calls,3,3,0
independent_calls,motif_inconsistent_trace,1,1,0
independent_calls,too_few_calls,2,2,0
linear_dependency,executor_error,15,16,1
linear_dependency,motif_inconsistent_trace,7,8,1
linear_dependency,no_tool_call,12,7,-5
linear_dependency,too_few_calls,28,30,2
linear_dependency,too_many_calls,4,6,2
linear_dependency,wrong_final_answer,4,3,-1
long_chain,motif_inconsistent_trace,1,2,1
long_chain,no_tool_call,5,5,0
long_chain,too_few_calls,55,55,0
