metric,bucket,synthetic,nestful,abs_gap
num_calls,1,0.1854,0,0.1854
num_calls,2,0.1766,0.3272,0.1506
num_calls,3,0.1766,0.2187,0.0421
num_calls,4,0.178,0.1343,0.0437
num_calls,5-8,0.2833,0.2375,0.0458
num_calls,9+,0,0.0822,0.0822
motif_type,fan_in,0.0102,0.1515,0.1413
motif_type,fan_out,0,0.0005,0.0005
motif_type,independent_calls,0,0.0145,0.0145
motif_type,linear_dependency,0.7065,0.5137,0.1928
motif_type,long_chain,0.2833,0.3197,0.0365
output_type,boolean,0.1168,0.021,0.0959
output_type,list,0.179,0.0543,0.1247
output_type,object,0.0292,0.0091,0.0201
output_type,scalar,0.4451,0.8227,0.3776
output_type,string,0.2299,0.093,0.137
dependency_depth,1,0.1854,0,0.1854
dependency_depth,10,0,0.0011,0.0011
dependency_depth,12,0,0.0011,0.0011
dependency_depth,2,0.1766,0.4019,0.2253
dependency_depth,3,0.1892,0.274,0.0849
dependency_depth,4,0.2207,0.1585,0.0622
dependency_depth,5,0.2091,0.094,0.1151
dependency_depth,6,0.019,0.0398,0.0208
dependency_depth,7,0,0.0183,0.0183
dependency_depth,8,0,0.0086,0.0086
dependency_depth,9,0,0.0027,0.0027
