task_id,num_calls,call_bucket,dependency_depth,motif_type,output_type,answer_type,num_references,fan_in,fan_out,reference_reuse,difficulty_score,tool_sequence
3a4b7b77-f0a1-4537-8623-432023f545bb,3,3,3,linear_dependency,scalar,scalar,2,0,0,0,0.3317,divide->multiply->add
1e9cc106-de96-423d-a75f-e5d9bc48e150,6,5-8,4,long_chain,scalar,scalar,5,1,0,0,0.5383,multiply->multiply->multiply->multiply->multiply->divide
95bcb3e1-3f25-4d3c-b611-cd19379cc1af,8,5-8,5,long_chain,scalar,scalar,7,1,0,0,0.6338,add->multiply->multiply->add->multiply->add->multiply->divide
e3e68bf5-479b-450b-8c4f-c635b0f75604,2,2,2,linear_dependency,scalar,scalar,1,0,0,0,0.235,find_kth_largest->convert_to_float_or_string
a6da425f-e619-4c73-abe5-88c175e4a938,3,3,3,linear_dependency,scalar,scalar,2,0,0,0,0.3317,add->subtract->subtract
877968a0-4dc7-49d5-935e-9cb886461607,2,2,2,linear_dependency,list,list,1,0,0,0,0.485,unique_common_values->swap_by_index
d6bd765f-9551-4099-8b2a-da154e0cf2aa,5,5-8,3,long_chain,scalar,scalar,4,1,0,0,0.525,multiply->multiply->multiply->add->divide
236711c7-5a1c-4bf5-b578-6e965b98a085,3,3,3,linear_dependency,scalar,scalar,2,0,0,0,0.3317,multiply->divide->multiply
9abbe8fb-bcc9-4ea6-91f9-e23c24cf0f60,2,2,2,linear_dependency,list,list,1,0,0,0,0.485,make_json_string->tokenize_sentence
04833334-0a98-443d-b24e-41b78da083b1,2,2,2,linear_dependency,scalar,scalar,1,0,0,0,0.235,divide->subtract
c200f317-59a8-49a8-9d06-b832587ef4bf,2,2,2,linear_dependency,list,list,1,0,0,0,0.485,replace_with_target->group_zeros_and_ones
680c7db5-488f-4216-8c9c-1e29e98be289,3,3,3,linear_dependency,scalar,scalar,2,0,0,0,0.3317,subtract->divide->multiply
a86a1e7c-50d5-4b95-8406-ca3da90ca7a8,3,3,2,fan_in,scalar,scalar,2,1,0,0,0.3567,divide->divide->multiply
0c2bb42b-09bd-41c8-b1c3-a3e0aec4c077,3,3,3,linear_dependency,scalar,scalar,2,0,0,0,0.3317,add->subtract->divide
038d6798-cb67-4083-8293-acf7a4719d36,6,5-8,4,long_chain,scalar,scalar,5,1,0,0,0.5883,multiply->multiply->multiply->add->multiply->add
47e99ea3-6afe-4fec-87ea-bbd2847d8f79,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,multiply->divide->multiply->multiply
25558ef9-4c6d-4de8-b3a4-a1f4bf6eb7b9,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,divide->multiply->divide->divide
88659452-fa94-4511-b6c2-f44d1d792cfe,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,multiply->multiply->subtract->divide
86326e16-0769-4d0a-95f0-a811626ba616,8,5-8,5,long_chain,scalar,scalar,7,1,0,0,0.6338,divide->add->power->divide->multiply->add->subtract->divide
003e29b9-7757-4365-93aa-efdaa8e2f7c1,2,2,2,linear_dependency,boolean,boolean,1,0,0,0,0.235,rand_str->is_object_iterable
7727cd5b-d0a1-4779-bfee-60e255bd98fb,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,subtract->multiply->add->divide
a090dadc-191f-4557-87fb-ab16b9929bb0,2,2,2,linear_dependency,string,string,1,0,0,0,0.235,find_largest_less_than->pad_to_len
6dab689a-7d58-4d74-8286-0b328f3316fe,2,2,2,linear_dependency,scalar,scalar,1,0,0,0,0.235,multiply->divide
76de8525-048b-4209-8867-48bfb6ff6fa8,6,5-8,4,long_chain,scalar,scalar,5,1,0,0,0.5883,multiply->multiply->multiply->multiply->add->subtract
4a6b0fd5-d75b-47c0-8130-ff584963f6c4,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,divide->add->add->divide
4b9c599c-337e-4c65-8fc9-0d2cf7d4cfdb,6,5-8,3,long_chain,scalar,scalar,5,1,0,0,0.5633,multiply->multiply->multiply->divide->multiply->divide
9fa5c9a4-4c21-426d-8886-acbf08539139,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,divide->divide->subtract->divide
fcd633f2-90eb-42fb-88db-1fbfb3382071,2,2,2,linear_dependency,string,string,1,0,0,0,0.235,find_dict_max->format_string_with_padding
f6aa4233-451e-4e33-abe1-451a313b6fec,4,4,3,fan_in,scalar,scalar,3,1,0,0,0.4325,subtract->add->divide->multiply
6f343b2c-42bb-4d4d-956e-2628490d5350,3,3,2,fan_in,scalar,scalar,2,1,0,0,0.3567,add->subtract->divide
d849c5fb-b7db-456e-9aa1-d55dae6d8cb8,8,5-8,5,long_chain,scalar,scalar,7,1,0,0,0.6837,subtract->divide->add->add->divide->multiply->multiply->subtract
95f4c040-4bac-4c75-b790-8446b76e4609,2,2,2,linear_dependency,string,string,1,0,0,0,0.235,maxSubarraySum->convert_reversed
