motif,count,order
subtract->divide|divide->multiply,33,bigram
divide->multiply,33,bigram
multiply->divide,31,bigram
subtract->divide,25,bigram
add->divide,22,bigram
multiply->divide|divide->multiply,20,bigram
multiply->subtract|subtract->divide,17,bigram
add->subtract|subtract->subtract,15,bigram
divide->add|add->divide,13,bigram
multiply->add|add->divide,12,bigram
multiply->multiply|multiply->divide,12,bigram
divide->subtract|subtract->divide,12,bigram
add->divide|divide->multiply,11,bigram
divide->multiply|multiply->subtract,11,bigram
divide->multiply|multiply->add,10,bigram
divide->divide,10,bigram
divide->divide|divide->add|add->divide,10,bigram
divide->subtract,9,bigram
subtract->multiply,8,bigram
add->add|add->subtract,8,bigram
add->add,8,bigram
add->add|add->multiply|multiply->multiply|multiply->subtract,7,bigram
divide->multiply|multiply->multiply,7,bigram
multiply->subtract,7,bigram
multiply->divide|divide->multiply|multiply->multiply,6,bigram
subtract->multiply|multiply->add|add->divide,6,bigram
divide->divide|divide->subtract|subtract->divide,6,bigram
subtract->multiply|multiply->divide,6,bigram
add->add|add->divide,6,bigram
subtract->subtract|subtract->divide,6,bigram
multiply->subtract|subtract->add,6,bigram
multiply->multiply|multiply->subtract,6,bigram
multiply->divide|divide->divide,6,bigram
divide->multiply|multiply->divide,6,bigram
divide->subtract|subtract->multiply,6,bigram
subtract->divide|divide->divide,6,bigram
multiply->add,6,bigram
divide->divide|divide->divide,6,bigram
multiply->divide|divide->multiply|multiply->divide,6,bigram
divide->add|add->multiply,6,bigram
add->multiply|multiply->multiply|multiply->add|add->multiply|multiply->add|add->multiply|multiply->divide,5,bigram
divide->divide|divide->multiply,5,bigram
add->subtract|subtract->divide,5,bigram
subtract->add|add->divide|divide->multiply,5,bigram
multiply->multiply|multiply->multiply|multiply->add|add->subtract,5,bigram
add->divide|divide->add|add->divide|divide->multiply,5,bigram
subtract->divide|divide->add,5,bigram
multiply->multiply,5,bigram
add->multiply|multiply->divide|divide->divide,5,bigram
multiply->add|add->subtract,5,bigram
subtract->divide|divide->subtract,5,bigram
multiply->multiply|multiply->add,5,bigram
subtract->divide|divide->divide|divide->subtract,5,bigram
add->multiply,5,bigram
multiply->multiply|multiply->add|add->add|add->divide,5,bigram
subtract->divide|divide->subtract|subtract->multiply,5,bigram
multiply->multiply|multiply->subtract|subtract->divide,4,bigram
add->add|add->divide|divide->multiply,4,bigram
add->subtract,4,bigram
add->multiply|multiply->multiply|multiply->subtract,4,bigram
multiply->subtract|subtract->subtract|subtract->multiply|multiply->add|add->multiply|multiply->add|add->subtract|subtract->multiply|multiply->add|add->add|add->divide|divide->multiply|multiply->subtract|subtract->subtract|subtract->multiply|multiply->add|add->multiply,4,bigram
subtract->add|add->multiply|multiply->divide|divide->divide|divide->subtract|subtract->multiply,4,bigram
subtract->subtract,4,bigram
divide->divide|divide->add|add->multiply,4,bigram
divide->multiply|multiply->subtract|subtract->divide,4,bigram
add->divide|divide->divide,4,bigram
multiply->divide|divide->subtract|subtract->divide,4,bigram
divide->add|add->divide|divide->multiply,4,bigram
add->divide|divide->add,4,bigram
divide->divide|divide->divide|divide->add,4,bigram
multiply->multiply|multiply->multiply|multiply->divide,4,bigram
add->subtract|subtract->divide|divide->multiply|multiply->divide|divide->multiply,4,bigram
multiply->subtract|subtract->subtract|subtract->divide,4,bigram
reminder->subtract,4,bigram
power->divide,4,bigram
add->subtract|subtract->divide|divide->multiply,4,bigram
divide->divide|divide->multiply|multiply->divide,4,bigram
multiply->multiply|multiply->multiply|multiply->multiply|multiply->multiply|multiply->divide,3,bigram
divide->add|add->power|power->divide|divide->multiply|multiply->add|add->subtract|subtract->divide,3,bigram
subtract->multiply|multiply->add,3,bigram
divide->add|add->power|power->divide,3,bigram
multiply->divide|divide->add|add->divide|divide->multiply|multiply->subtract|subtract->subtract|subtract->divide,3,bigram
multiply->add|add->subtract|subtract->subtract|subtract->divide,3,bigram
add->divide|divide->multiply|multiply->add|add->multiply,3,bigram
add->multiply|multiply->divide|divide->add|add->divide|divide->multiply,3,bigram
multiply->multiply|multiply->multiply|multiply->multiply|multiply->divide,3,bigram
divide->subtract|subtract->divide|divide->subtract|subtract->multiply|multiply->multiply,3,bigram
divide->add|add->divide|divide->add|add->multiply|multiply->divide,3,bigram
speed->multiply|multiply->speed|speed->divide|divide->multiply|multiply->subtract,3,bigram
multiply->subtract|subtract->divide|divide->multiply,3,bigram
divide->add,3,bigram
divide->divide|divide->add|add->inverse,3,bigram
divide->multiply|multiply->divide|divide->multiply|multiply->subtract|subtract->divide|divide->divide|divide->subtract|subtract->divide,3,bigram
divide->power|power->multiply,3,bigram
divide->divide|divide->divide|divide->subtract|subtract->subtract|subtract->divide,3,bigram
subtract->subtract|subtract->divide|divide->multiply|multiply->add,3,bigram
power->reminder,3,bigram
multiply->multiply|multiply->subtract|subtract->subtract|subtract->divide,3,bigram
power->multiply,3,bigram
negate->add|add->negate|negate->add|add->add|add->add,3,bigram
divide->multiply|multiply->divide|divide->multiply|multiply->add|add->divide|divide->multiply,3,bigram
divide->divide|divide->subtract,3,bigram
subtract->divide|divide->subtract|subtract->subtract|subtract->subtract|subtract->divide|divide->multiply,3,bigram
subtract->multiply|multiply->divide|divide->subtract,3,bigram
power->multiply|multiply->power|power->divide,3,bigram
multiply->subtract|subtract->multiply|multiply->add,3,bigram
multiply->divide|divide->subtract,3,bigram
multiply->subtract|subtract->subtract|subtract->subtract|subtract->divide,3,bigram
divide->subtract|subtract->divide|divide->subtract,3,bigram
subtract->subtract|subtract->subtract,3,bigram
power->subtract|subtract->divide,3,bigram
divide->floor,3,bigram
divide->subtract|subtract->multiply|multiply->divide|divide->multiply,3,bigram
divide->divide|divide->subtract|subtract->divide|divide->multiply,3,bigram
multiply->divide|divide->multiply|multiply->divide|divide->add|add->inverse,3,bigram
subtract->divide|divide->multiply|multiply->add,3,bigram
multiply->multiply|multiply->add|add->sqrt|sqrt->add|add->divide,3,bigram
add->add|add->add|add->subtract,2,bigram
add->subtract|subtract->add,2,bigram
multiply->multiply|multiply->multiply|multiply->multiply|multiply->multiply|multiply->multiply|multiply->divide,2,bigram
multiply->multiply|multiply->subtract|subtract->multiply|multiply->divide,2,bigram
multiply->subtract|subtract->add|add->divide,2,bigram
divide->divide|divide->divide|divide->multiply,2,bigram
multiply->multiply|multiply->divide|divide->divide,2,bigram
divide->multiply|multiply->multiply|multiply->subtract,2,bigram
multiply->multiply|multiply->divide|divide->multiply|multiply->multiply|multiply->divide|divide->multiply,2,bigram
subtract->add|add->divide,2,bigram
multiply->subtract|subtract->multiply|multiply->divide|divide->divide|divide->multiply|multiply->divide|divide->add,2,bigram
multiply->divide|divide->multiply|multiply->divide|divide->subtract,2,bigram
divide->add|add->divide|divide->add|add->subtract|subtract->multiply|multiply->divide,2,bigram
add->add|add->multiply|multiply->add|add->add|add->subtract,2,bigram
multiply->add|add->divide|divide->divide|divide->multiply,2,bigram
add->add|add->add|add->add|add->divide|divide->multiply,2,bigram
