metric,bucket,nestful,synthetic_v3
tool_family_distribution,boolean,0,176
tool_family_distribution,list,0,48
tool_family_distribution,math,6816,2740
tool_family_distribution,object,0,108
tool_family_distribution,other,1289,0
tool_family_distribution,string,0,46
tool_name_diversity,Hash,1,0
tool_name_diversity,L2_to_A,1,0
tool_name_diversity,P,1,0
tool_name_diversity,abbreviate,1,0
tool_name_diversity,abs_limited_to,1,0
tool_name_diversity,absolute_sum,1,0
tool_name_diversity,access_attrs,1,0
tool_name_diversity,access_byte,1,0
tool_name_diversity,activation_function,1,0
tool_name_diversity,add,1415,881
tool_name_diversity,add_1,1,0
tool_name_diversity,add_1_abs_value,1,0
tool_name_diversity,add_all_elements,1,0
tool_name_diversity,add_anchor_tags,1,0
tool_name_diversity,add_and_shift,1,0
tool_name_diversity,add_color_code,1,0
tool_name_diversity,add_commas_to_string,2,0
tool_name_diversity,add_comment_header,1,0
tool_name_diversity,add_duration,1,0
tool_name_diversity,add_enum,1,0
tool_name_diversity,add_feature,1,0
tool_name_diversity,add_hyphen,1,0
tool_name_diversity,add_id_to_dicts,1,0
tool_name_diversity,add_if_exists,1,0
tool_name_diversity,add_if_unique,1,0
tool_name_diversity,add_indent,2,0
tool_name_diversity,add_keys,1,0
tool_name_diversity,add_leading_zeros,1,0
tool_name_diversity,add_list_elements,2,0
tool_name_diversity,add_mean,2,0
tool_name_diversity,add_n_to_list,1,0
tool_name_diversity,add_noise_to_torch_tensor,1,0
tool_name_diversity,add_one_if_int,1,0
tool_name_diversity,add_or_divide,2,0
tool_name_diversity,add_paddings,1,0
tool_name_diversity,add_paragraph_before_h3,1,0
tool_name_diversity,add_polynomials,1,0
tool_name_diversity,add_possession_stats,1,0
tool_name_diversity,add_previous,1,0
tool_name_diversity,add_quotes,1,0
tool_name_diversity,add_seconds,1,0
tool_name_diversity,add_space_to_str_lines,2,0
tool_name_diversity,add_strings_with_graceful_error_handling,1,0
tool_name_diversity,add_suffix_to_filename,1,0
tool_name_diversity,add_suffix_to_strings,1,0
tool_name_diversity,add_tab,1,0
tool_name_diversity,add_tuples,1,0
tool_name_diversity,add_tuples_to_dict,1,0
tool_name_diversity,add_two_integers,1,0
tool_name_diversity,add_up,1,0
tool_name_diversity,add_values_to_attribute,1,0
tool_name_diversity,add_with_rounding,1,0
tool_name_diversity,adjust_predictions,1,0
tool_name_diversity,adjust_weights,1,0
tool_name_diversity,align_integer,1,0
tool_name_diversity,align_left,3,0
tool_name_diversity,all_attributes_set_to,1,0
tool_name_diversity,all_characters_same,1,0
tool_name_diversity,all_even,1,0
tool_name_diversity,all_letters_appear_twice,1,0
tool_name_diversity,all_rotations,1,0
tool_name_diversity,all_same,2,0
tool_name_diversity,all_suffixes,1,0
tool_name_diversity,all_zero,1,0
tool_name_diversity,almost_equal,1,0
tool_name_diversity,alphanumeric_only,1,0
tool_name_diversity,altered_string,2,0
tool_name_diversity,alternate_concat,1,0
tool_name_diversity,always_return_seven,1,0
tool_name_diversity,always_zero,1,0
tool_name_diversity,analyze_sentiment,1,0
tool_name_diversity,and_op,1,0
tool_name_diversity,angle_diff,1,0
tool_name_diversity,angle_rotation,2,0
tool_name_diversity,any_even,1,0
tool_name_diversity,any_rows_equal,1,0
tool_name_diversity,append_and_return,1,0
tool_name_diversity,append_even,2,0
tool_name_diversity,append_extension,1,0
tool_name_diversity,append_length,1,0
tool_name_diversity,append_path_components,2,0
tool_name_diversity,append_string,1,0
tool_name_diversity,apply_camel_case,1,0
tool_name_diversity,apply_functions,1,0
tool_name_diversity,apply_hash,1,0
tool_name_diversity,approximate_e,1,0
tool_name_diversity,approximate_square_root,1,0
tool_name_diversity,are_all_bits_set,1,0
tool_name_diversity,are_close,1,0
tool_name_diversity,are_dicts_equal,1,0
tool_name_diversity,are_files_identical,1,0
tool_name_diversity,are_floating_point_numbers_equal,1,0
tool_name_diversity,are_overlapping,1,0
tool_name_diversity,are_permutations,1,0
tool_name_diversity,are_same_files,1,0
tool_name_diversity,are_ships_safe,1,0
tool_name_diversity,area_of_triangle_from_sides,1,0
tool_name_diversity,area_rectangle,1,0
tool_name_diversity,arg_parser,2,0
tool_name_diversity,arith_op,1,0
