metric,C0_count,C0_rate,C1_count,C1_rate,C2_count,C2_rate,C1_minus_C0,C2_minus_C1,C2_minus_C0,C0_ci95,C2_ci95
raw_output_syntax_failure,182,0.10957254665863937,181,0.10897049969897651,175,0.1053582179409994,-0.000602046959662858,-0.0036122817579771205,-0.0042143287176399785,"[0.09391932570740517, 0.12522576760987358]","[0.09151113786875377, 0.11980734497290789]"
parser_extraction_failure,74,0.044551475015051176,68,0.040939193257074055,63,0.037928958458759786,-0.0036122817579771205,-0.0030102347983142694,-0.00662251655629139,"[0.03431667670078266, 0.054184226369656835]","[0.028898254063816978, 0.04695966285370259]"
malformed_tool_call,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
unknown_tool,8,0.00481637567730283,9,0.005418422636965683,11,0.006622516556291391,0.0006020469596628537,0.0012040939193257074,0.001806140878988561,,
missing_argument_key,41,0.024683925346177003,42,0.025285972305839857,42,0.025285972305839857,0.0006020469596628546,0.0,0.0006020469596628546,,
extra_argument_key,41,0.024683925346177003,42,0.025285972305839857,42,0.025285972305839857,0.0006020469596628546,0.0,0.0006020469596628546,,
wrong_type_serialization,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
malformed_reference,1,0.0006020469596628537,1,0.0006020469596628537,1,0.0006020469596628537,0.0,0.0,0.0,,
unresolvable_reference,2,0.0012040939193257074,2,0.0012040939193257074,1,0.0006020469596628537,0.0,-0.0006020469596628537,-0.0006020469596628537,,
missing_output_field,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
final_answer_extraction_failure,15,0.009030704394942806,12,0.007224563515954244,6,0.003612281757977122,-0.001806140878988562,-0.003612281757977122,-0.005418422636965684,,
output_truncation,10,0.006020469596628537,11,0.006622516556291391,8,0.00481637567730283,0.0006020469596628537,-0.001806140878988561,-0.0012040939193257074,"[0.002408187838651415, 0.010234798314268514]","[0.001806140878988561, 0.008428657435279952]"
unsupported_trace,95,0.057194461167971104,89,0.05358217940999398,100,0.060204695966285374,-0.0036122817579771274,0.006622516556291397,0.0030102347983142694,"[0.046357615894039736, 0.06863335340156532]","[0.04876580373269115, 0.0716435881998796]"
executable,1331,0.8013245033112583,1316,0.7922937989163155,1314,0.7910897049969897,-0.009030704394942801,-0.0012040939193257438,-0.010234798314268545,"[0.7820590006020469, 0.8199879590608068]","[0.7718242022877785, 0.8103552077062011]"
wrong_tool,163,0.09813365442504515,160,0.09632751354605659,172,0.10355207706201083,-0.0018061408789885602,0.007224563515954241,0.005418422636965681,"[0.08368452739313667, 0.11258278145695365]","[0.08910295003010235, 0.11739915713425647]"
wrong_argument_value,157,0.09452137266706803,152,0.09151113786875377,141,0.08488862131246237,-0.0030102347983142624,-0.006622516556291397,-0.00963275135460566,"[0.0806742925948224, 0.10836845273931367]","[0.07104154124021674, 0.09873570138470801]"
executable_wrong_result,172,0.10355207706201083,179,0.10776640577965081,187,0.11258278145695365,0.0042143287176399785,0.0048163756773028366,0.009030704394942815,"[0.08910295003010235, 0.11860325105358217]","[0.0975316074653823, 0.12823600240818783]"
no_tool_call,108,0.0650210716435882,113,0.06803130644190247,112,0.06742925948223961,0.0030102347983142763,-0.000602046959662858,0.0024081878386514183,,
syntax_format,182,0.10957254665863937,183,0.11017459361830223,175,0.1053582179409994,0.000602046959662858,-0.0048163756773028366,-0.0042143287176399785,"[0.09391932570740517, 0.12522576760987358]","[0.09151113786875377, 0.11980734497290789]"
schema_or_reference,52,0.031306441902468396,54,0.0325105358217941,55,0.033112582781456956,0.0012040939193257022,0.000602046959662858,0.0018061408789885602,"[0.022877784467188442, 0.039735099337748346]","[0.024683925346177003, 0.041541240216736906]"
semantic_dominant,553,0.3329319686935581,549,0.3305237808549067,550,0.33112582781456956,-0.002408187838651432,0.0006020469596628719,-0.0018061408789885602,"[0.31125827814569534, 0.3564118001204094]","[0.30885009030704397, 0.35460565924142085]"
