task_id,gold_tool_2,C0_tool_2,E1_tool_2,E2_tool_2,tool_1,observation_1_type,observation_1_value_shape,observation_1_preview,gold_tool_2_description,E2_tool_2_description,C0_tool_2_correct,E2_tool_2_correct
00830acf-eda7-4310-8396-aff5f243860e,power,power,square_edge_by_perimeter,square_edge_by_perimeter,divide,scalar,scalar,4.0,Raise a number to a power,Calculate the edge length of a square given its perimeter,True,False
00fd73c1-50e8-47a9-9d20-82a730c02de3,subtract,subtract,subtract,subtract,add,scalar,scalar,125,subtract two numbers,subtract two numbers,True,True
037ab7a7-2503-4a04-9bde-f2d81c184790,add,add,divide,,multiply,scalar,scalar,1200,adds two numbers,,True,False
038d6798-cb67-4083-8293-acf7a4719d36,multiply,multiply,multiply,multiply,multiply,scalar,scalar,24,Multiplies two numbers,Multiplies two numbers,True,True
07421ac8-4030-4262-a84f-8f2ef84d6010,integer_part,integer_part,integer_part,integer_part,add_and_shift,scalar,scalar,15,Returns the integer part of a float number without using the built-in function math.floor.,Returns the integer part of a float number without using the built-in function math.floor.,True,True
0c3f5a6d-1aec-4d52-9310-c0e0ab651fef,divide,divide,divide,,add,scalar,scalar,100,divides two numbers,,True,False
0f1d3aca-4e40-45a9-b1e8-9ef76e1e1cd2,add,add,add,add,add,scalar,scalar,8772,adds two numbers,adds two numbers,True,True
1163aa42-d931-4ae3-a9af-3800e1200319,multiply,multiply,multiply,multiply,divide,scalar,scalar,1.7151162790697674,Multiplies two numbers,Multiplies two numbers,True,True
13d599b3-0a9f-4856-8fbf-2fd376400988,find_sum_of_squares,find_sum_of_squares,find_sum_of_squares,find_sum_of_squares,check_list_for_value,scalar,scalar,10,Calculates the sum of the squares of two numbers.,Calculates the sum of the squares of two numbers.,True,True
1486b674-af4e-4bd4-9a48-2bf0f4aa9995,divide,divide,,,multiply,scalar,scalar,150.0,divides two numbers,,True,False
1765d48e-b1d2-4dd2-bdf5-cc49496ac350,add,divide,divide,divide,subtract,scalar,scalar,101,adds two numbers,divides two numbers,False,False
18f2119a-53e9-4e04-bd1a-2b88f2e68919,subtract,divide,divide,divide,multiply,scalar,scalar,7200,subtract two numbers,divides two numbers,False,False
1b79e333-e3fc-4292-9d59-987fc3b606f8,add,add,add,add,add,scalar,scalar,35,adds two numbers,adds two numbers,True,True
2140a918-5ea0-4afb-bf9c-a6eaf5f74a1e,search_min_max,search_min_max,search_min_max,search_min_max,pad_buffer,list[6],list[6],"{'type': 'list', 'len': 6, 'preview': [5, 4, 3]}",Finds the minimum and maximum values in a list without modifying the original list.,Finds the minimum and maximum values in a list without modifying the original list.,True,True
22189646-8f33-479f-8c1c-9fa573072a25,subtract,subtract,subtract,multiply,multiply,scalar,scalar,3500,subtract two numbers,Multiplies two numbers,True,False
236711c7-5a1c-4bf5-b578-6e965b98a085,divide,divide,divide,,multiply,scalar,scalar,300,divides two numbers,,True,False
24288ec0-758f-48d2-8e76-ce42e70cbf8d,sum_consecutive_integers,sum_consecutive_integers,sum_consecutive_integers,sum_consecutive_integers,bitwise_lowest_set_bit_retrieval,scalar,scalar,2,"Calculates the sum of consecutive integers from 1 to a given number, inclusive.","Calculates the sum of consecutive integers from 1 to a given number, inclusive.",True,True
25797860-12b0-49be-a53e-e8b0933e0900,multiply,multiply,multiply,multiply,rectangle_area,scalar,scalar,200,Multiplies two numbers,Multiplies two numbers,True,True
2795c8df-921d-4311-b6d4-ece1204f2ef5,subtract,divide,divide,divide,divide,scalar,scalar,500.0,subtract two numbers,divides two numbers,False,False
2a9516d7-fe85-49c4-9d22-d31f22721ded,matrix_multiply_scalar,matrix_multiply_scalar,matrix_multiply_scalar,matrix_multiply_scalar,matrix_multiply_2,list[2],list[2],"{'type': 'list', 'len': 2, 'preview': [{'type': 'list', 'len': 2, 'preview': [19, 22]}, {'type': 'list', 'len': 2, 'preview': [43, 50]}]}",Multiplies a matrix by a scalar without modifying the input matrix.,Multiplies a matrix by a scalar without modifying the input matrix.,True,True
2ffc5104-b4b9-4442-9008-e750f89625ce,apply_camel_case,apply_camel_case,apply_camel_case,apply_camel_case,count_bits,scalar,scalar,2,Applies camel case formatting to a string of words.,Applies camel case formatting to a string of words.,True,True
3171c089-3152-48db-90be-f576f555dfd6,zeroes_to_binary,zeroes_to_binary,zeroes_to_binary,zeroes_to_binary,find_nth_smallest,scalar,scalar,1,Converts a positive integer `n` to a binary string of `n` zeros.,Converts a positive integer `n` to a binary string of `n` zeros.,True,True
32881593-1d74-40fd-9d4e-9ea812030a17,power,,,,divide,null,null,,Raise a number to a power,,False,False
34549c3b-6a32-444a-8b7a-56b6f484baeb,subtract,,,,multiply,null,null,,subtract two numbers,,False,False
3d2db0a1-2044-4033-97d0-3f82b93e55bd,multiply,,,,multiply,scalar,scalar,0.15,Multiplies two numbers,,False,False
4181facd-49ba-4f9d-8ced-f01adcdd8782,divide,divide,,,multiply,scalar,scalar,0.2,divides two numbers,,True,False
4511ccb4-e31c-4cc8-b585-04dda07d21cf,extract_first_value,extract_first_value,extract_first_value,extract_first_value,moving_average,list[3],list[3],"{'type': 'list', 'len': 3, 'preview': [2.0, 3.0, 4.0]}",Extracts the first non-null value from a list of strings or values.,Extracts the first non-null value from a list of strings or values.,True,True
466a901f-f700-4e5c-8b45-984e29b3e97f,multiply,,,,divide,scalar,scalar,8.0,Multiplies two numbers,,False,False
47fbefed-c16e-4a5c-a88a-ac17e2d5c863,divide,multiply,multiply,multiply,multiply,scalar,scalar,300.0,divides two numbers,Multiplies two numbers,False,False
4cba337d-cf82-49fe-853b-1ac69d0f19ae,multiply,,,divide,subtract,scalar,scalar,345,Multiplies two numbers,divides two numbers,False,False
5099873f-cd8b-4b02-873a-8c77a8e76837,divide,,,,divide,scalar,scalar,0.625,divides two numbers,,False,False
52651073-b22c-422b-b2dd-8bc64f894969,subtract,multiply,multiply,multiply,multiply,scalar,scalar,96,subtract two numbers,Multiplies two numbers,False,False
5436377c-b285-4d60-b0f5-89742ae2a9d6,divide,add,add,add,multiply,scalar,scalar,28.0,divides two numbers,adds two numbers,False,False
54bacfd4-1ac2-4e58-bb6e-8093d738af12,hash_string_using_md5,hash_string_using_md5,hash_string_using_md5,hash_string_using_md5,image_filename,string,string,image_123.jpg,Hashes a string using the md5 algorithm and returns the hexadecimal representation of the hash value.,Hashes a string using the md5 algorithm and returns the hexadecimal representation of the hash value.,True,True
55754e10-54f7-4798-8c97-c3db54fbb9b1,multiply,multiply,multiply,multiply,multiply,scalar,scalar,225,Multiplies two numbers,Multiplies two numbers,True,True
56a1c574-6d93-4367-a3df-128fecbda809,subtract,subtract,subtract,subtract,divide,scalar,scalar,6.0,subtract two numbers,subtract two numbers,True,True
56f217f3-b20d-4f19-b8ed-23850bc2e6be,delete_value,,parse_list_of_numbers,parse_list_of_numbers,extract_layer_numbers,list[6],list[6],"{'type': 'list', 'len': 6, 'preview': [None, None, None]}",Deletes all occurrences of a value from a list.,Parses a string representing a list of numbers (separated by commas) into a list of floats.,False,False
5830f67e-aed1-4252-a279-f107ab8d15bb,divide,divide,multiply,multiply,multiply,scalar,scalar,1440,divides two numbers,Multiplies two numbers,True,False
5b0305d9-ae91-4986-8649-eb4253728f54,custom_round,,,,count_common_elements,scalar,scalar,2,Rounds a given numeric value to the closest multiple of a specified factor.,,False,False
5e9676ba-e7a5-4380-95d5-f9416def5243,divide,multiply,multiply,multiply,multiply,scalar,scalar,600.0,divides two numbers,Multiplies two numbers,False,False
5ece6f80-a4fb-48a9-95cd-8c8c2a49ab08,add,multiply,multiply,multiply,divide,scalar,scalar,25.0,adds two numbers,Multiplies two numbers,False,False
5f72334c-4a68-496d-a51c-e92c1b70affc,multiply,,,,divide,scalar,scalar,16.0,Multiplies two numbers,,False,False
5fa7ff50-c123-4abc-be8a-6113e3dfafa7,beta_value,beta_value,beta_value,beta_value,polygon,scalar,scalar,12.566370614359172,Calculates the beta value for the specified range.,Calculates the beta value for the specified range.,True,True
63854dc5-cf6e-40bd-94e9-f4f930165cb7,product_of_vectors,product_of_vectors,product_of_vectors,product_of_vectors,scale_to_zero_mean_and_unit_variance,list[5],list[5],"{'type': 'list', 'len': 5, 'preview': [-1.414213562373095, -0.7071067811865475, 0.0]}",Computes the product of two vectors.,Computes the product of two vectors.,True,True
63decc75-1337-4064-a0f1-abd398d5985e,add,divide,divide,divide,divide,scalar,scalar,189.6,adds two numbers,divides two numbers,False,False
