task_id,gold_call_count,gold_motif,gold_first_tool,C0_win,E1_win,E2_win,C0_failure,E1_failure,E2_failure,C0_num_calls,E1_num_calls,E2_num_calls,C0_first_tool,E1_first_tool,E2_first_tool,C0_executable,E1_executable,E2_executable,transition
000b6bed-2a29-4199-a359-0e107922a1ff,3,fan_in,add,True,True,True,success,success,success,3,3,3,add,add,add,True,True,True,stable_win
003e29b9-7757-4365-93aa-efdaa8e2f7c1,2,linear_dependency,rand_str,True,True,True,success,success,success,2,2,2,rand_str,rand_str,rand_str,True,True,True,stable_win
00830acf-eda7-4310-8396-aff5f243860e,5,long_chain,divide,False,False,False,"correct keys, wrong argument values",executable trajectory ending wrong result,executable trajectory ending wrong result,6,3,3,divide,square_edge_by_perimeter,square_edge_by_perimeter,True,False,False,stable_loss
008d5d59-d7f6-450a-8b28-9fffb47a5ca4,2,linear_dependency,select_population_units,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,select_population_units,select_population_units,select_population_units,False,False,False,stable_loss
00fd73c1-50e8-47a9-9d20-82a730c02de3,3,fan_in,add,True,True,True,success,success,success,2,2,2,add,add,add,True,True,True,stable_win
013c1149-7617-42df-ad8e-122f87f55cb7,3,linear_dependency,subtract,True,False,True,success,"correct keys, wrong argument values",success,1,1,1,multiply,divide,multiply,True,True,True,lost_E1_regained_E2
01548212-310b-4162-89b2-ec5b92b02811,3,fan_in,add,True,True,True,success,success,success,2,2,2,add,add,add,True,True,True,stable_win
01a82a8e-0f8c-4b7b-a5de-963ce5c2c971,2,linear_dependency,format_pretty_time,False,False,False,"correct trajectory, wrong final answer","correct trajectory, wrong final answer","correct trajectory, wrong final answer",2,2,2,format_pretty_time,format_pretty_time,format_pretty_time,True,True,True,stable_loss
01b4eab5-4d33-4a71-86f9-64a481dfa37a,8,long_chain,divide,True,True,True,success,success,success,2,4,2,multiply,multiply,multiply,True,True,True,stable_win
01cb6e48-053d-4af1-a500-bb21f6ee84bb,6,long_chain,divide,True,False,False,success,executable trajectory ending wrong result,"correct keys, wrong argument values",2,1,3,subtract,subtract,divide,True,False,True,lost_after_E1
01e1c208-31dc-4ae6-89ae-da9efb73c7e3,2,linear_dependency,find_negative,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,find_negative,find_negative,find_negative,False,False,False,stable_loss
01fad8be-a35d-41e8-a3ce-7e89fcabdc3e,2,linear_dependency,calculate_with_exponentiation,True,True,True,success,success,success,2,2,2,calculate_with_exponentiation,calculate_with_exponentiation,calculate_with_exponentiation,True,True,True,stable_win
0204f50a-a048-4333-a523-afebeebc9898,3,linear_dependency,divide,True,True,True,success,success,success,1,1,1,divide,divide,divide,True,True,True,stable_win
020f129c-336e-41a2-97a2-5f2dc6ddd3f4,4,fan_in,divide,True,True,True,success,success,success,2,2,2,divide,divide,divide,True,True,True,stable_win
0214b225-23ae-4a8f-bb93-8fbaec94831c,5,long_chain,divide,False,False,False,no tool call,no tool call,no tool call,0,0,0,,,,False,False,False,stable_loss
0219f9a1-ced9-4e6d-9b99-1570e1178b66,2,linear_dependency,round_to_ceiling,False,True,False,executable trajectory ending wrong result,success,executable trajectory ending wrong result,2,2,2,round_to_ceiling,round_to_ceiling,round_to_ceiling,False,True,False,gained_after_E1_lost_E2
02294fa2-cc75-4e2e-8fb7-1cea86c7e1a6,4,fan_in,multiply,False,False,True,executable trajectory ending wrong result,executable trajectory ending wrong result,success,1,1,4,divide,divide,divide,False,False,True,gained_after_E2_only
0235f005-b78c-4bb1-9209-8060426a1e0a,2,linear_dependency,multiply,True,True,True,success,success,success,2,1,1,multiply,divide,divide,True,True,True,stable_win
0307db3d-719a-4972-bae5-204c97f4fcd2,2,linear_dependency,lower_case,True,True,True,success,success,success,2,2,2,lower_case,lower_case,lower_case,True,True,True,stable_win
0308c795-2a66-4896-b45f-cf509a266c3e,2,linear_dependency,sliding_window,False,False,False,executable trajectory ending wrong result,executable trajectory ending wrong result,executable trajectory ending wrong result,2,2,2,sliding_window,sliding_window,sliding_window,False,False,False,stable_loss
0310afd8-e25a-4812-8b9f-599adf5e6500,2,linear_dependency,hexa2dec,True,True,True,success,success,success,2,2,2,hexa2dec,hexa2dec,hexa2dec,True,True,True,stable_win
0335ed3e-e613-420b-a07a-9d481b2a791e,25,long_chain,multiply,False,True,True,wrong tool,success,success,3,3,3,divide,divide,divide,True,True,True,gained_E1_kept_E2
0348fbf7-432c-4759-8a11-5dda28d98ce3,4,fan_in,subtract,False,False,False,wrong tool,wrong tool,wrong tool,1,1,1,multiply,multiply,multiply,True,True,True,stable_loss
