cohort,root_cause,recommended_fix,responsible_reward_component,first_divergence_turn,count
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,,11
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,1,9
c0_win_e2_loss,initial_tool_selection,credit_assignment,call_count,1,6
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,2,6
stable_loss_control,initial_tool_selection,tool_selection_data,tool_name,1,4
c0_win_e2_loss,argument_values,outcome_reward,terminal_outcome,2,4
c0_loss_e2_win,initial_tool_selection,tool_selection_data,tool_name,1,4
c0_win_e2_loss,valid_shorter_path,credit_assignment,call_count,1,4
c0_win_e2_loss,initial_tool_selection,tool_selection_data,tool_name,1,4
c0_win_e2_loss,wrong_final_answer,terminal_classification,terminal_outcome,2,4
e2_executable_wrong_other,initial_tool_selection,tool_selection_data,terminal_outcome,1,3
official_win_reward_too_few,valid_shorter_path,outcome_reward,call_count,1,3
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,3,3
c0_win_e2_loss,later_tool_selection,tool_selection_data,tool_name,2,3
c0_loss_e2_win,valid_shorter_path,credit_assignment,call_count,1,3
c0_win_e2_loss,premature_stop,process_reward,call_count,2,3
c0_win_e2_loss,argument_values,observation_grounding_data,argument_values,2,3
c0_win_e2_loss,premature_stop,credit_assignment,call_count,2,3
c0_loss_e2_win,initial_tool_selection,credit_assignment,call_count,1,3
c0_win_e2_loss,valid_shorter_path,terminal_classification,terminal_outcome,1,2
c0_loss_e2_win,initial_tool_selection,outcome_reward,terminal_outcome,1,2
stable_loss_control,later_tool_selection,tool_selection_data,tool_name,2,2
c0_win_e2_loss,premature_stop,tool_selection_data,call_count,1,2
official_win_reward_too_few,valid_shorter_path,credit_assignment,call_count,6,2
e2_executable_wrong_other,initial_tool_selection,tool_selection_data,tool_name,1,2
c0_win_e2_loss,initial_tool_selection,tool_selection_data,terminal_outcome,1,2
e2_executable_wrong_other,argument_values,observation_grounding_data,argument_values,1,2
c0_win_e2_loss,argument_values,targeted_semantic_sft,argument_values,2,2
c0_win_e2_loss,wrong_output_field,terminal_classification,terminal_outcome,2,2
c0_win_e2_loss,valid_shorter_path,targeted_semantic_sft,call_count,1,2
e2_executable_wrong_other,wrong_final_answer,terminal_classification,terminal_outcome,,2
e2_executable_wrong_other,later_tool_selection,tool_selection_data,tool_name,2,2
