cohort,root_cause,recommended_fix,responsible_reward_component,first_divergence_turn,count
c0_win_e2_loss,later_tool_selection,no_change,none,1,39
c0_loss_e2_win,later_tool_selection,no_change,none,1,24
c0_win_e2_loss,later_tool_selection,no_change,none,2,22
e2_executable_wrong_other,later_tool_selection,no_change,none,1,15
official_win_reward_too_few,later_tool_selection,no_change,none,,14
c0_win_e2_loss,reward_mismatch,outcome_reward,call_count,2,14
official_win_reward_too_few,later_tool_selection,no_change,none,1,13
official_win_reward_too_few,later_tool_selection,no_change,none,2,10
e2_executable_wrong_other,later_tool_selection,no_change,none,,9
c0_loss_e2_win,later_tool_selection,no_change,none,2,7
e2_executable_wrong_other,later_tool_selection,no_change,none,2,7
c0_win_e2_loss,reward_mismatch,outcome_reward,call_count,1,6
stable_loss_control,later_tool_selection,no_change,none,,6
c0_loss_e2_win,later_tool_selection,no_change,none,3,6
official_win_reward_too_few,later_tool_selection,no_change,none,3,6
stable_win_control,later_tool_selection,no_change,none,,5
stable_loss_control,later_tool_selection,no_change,none,2,4
c0_win_e2_loss,later_tool_selection,no_change,none,3,4
stable_win_control,later_tool_selection,no_change,none,2,4
stable_loss_control,later_tool_selection,no_change,none,1,3
e2_executable_wrong_other,later_tool_selection,no_change,none,3,3
c0_win_e2_loss,later_tool_selection,no_change,none,5,3
official_win_reward_too_few,later_tool_selection,no_change,none,4,3
official_win_reward_too_few,later_tool_selection,no_change,none,6,2
c0_loss_e2_win,later_tool_selection,no_change,none,4,2
stable_win_control,later_tool_selection,no_change,none,3,2
stable_win_control,later_tool_selection,no_change,none,4,2
official_win_reward_too_few,later_tool_selection,no_change,none,5,2
stable_win_control,later_tool_selection,no_change,none,1,2
c0_win_e2_loss,later_tool_selection,no_change,none,16,1
c0_win_e2_loss,later_tool_selection,no_change,none,4,1
c0_win_e2_loss,reward_mismatch,outcome_reward,call_count,5,1
c0_loss_e2_win,later_tool_selection,no_change,none,7,1
stable_loss_control,later_tool_selection,no_change,none,3,1
c0_win_e2_loss,later_tool_selection,no_change,none,7,1
e2_executable_wrong_other,later_tool_selection,no_change,none,4,1
stable_loss_control,later_tool_selection,no_change,none,5,1
c0_win_e2_loss,reward_mismatch,outcome_reward,call_count,4,1
