arm,layer,norm
A0_R0_CURRENT,base_model.model.model.layers.0.mlp.down_proj.lora_A.weight,2.308511734008789
A0_R0_CURRENT,base_model.model.model.layers.0.mlp.down_proj.lora_B.weight,0.0006036231061443686
A0_R0_CURRENT,base_model.model.model.layers.0.mlp.gate_proj.lora_A.weight,2.305168390274048
A0_R0_CURRENT,base_model.model.model.layers.0.mlp.gate_proj.lora_B.weight,0.0011656712740659714
A0_R0_CURRENT,base_model.model.model.layers.0.mlp.up_proj.lora_A.weight,2.312117338180542
A0_R0_CURRENT,base_model.model.model.layers.0.mlp.up_proj.lora_B.weight,0.0011692479019984603
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.k_proj.lora_A.weight,2.3163809776306152
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.k_proj.lora_B.weight,0.0004554556217044592
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.o_proj.lora_A.weight,2.3142166137695312
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.o_proj.lora_B.weight,0.0005843492690473795
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.q_proj.lora_A.weight,2.3092713356018066
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.q_proj.lora_B.weight,0.0008783108205534518
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.v_proj.lora_A.weight,2.3118693828582764
A0_R0_CURRENT,base_model.model.model.layers.0.self_attn.v_proj.lora_B.weight,0.0003990227123722434
A0_R0_CURRENT,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,2.30527925491333
A0_R0_CURRENT,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight,0.000616486300714314
A0_R0_CURRENT,base_model.model.model.layers.1.mlp.gate_proj.lora_A.weight,2.3114492893218994
A0_R0_CURRENT,base_model.model.model.layers.1.mlp.gate_proj.lora_B.weight,0.0011456144275143743
A0_R0_CURRENT,base_model.model.model.layers.1.mlp.up_proj.lora_A.weight,2.311081647872925
A0_R0_CURRENT,base_model.model.model.layers.1.mlp.up_proj.lora_B.weight,0.001118954736739397
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.k_proj.lora_A.weight,2.306715488433838
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.k_proj.lora_B.weight,0.0003500612801872194
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.o_proj.lora_A.weight,2.311079740524292
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.o_proj.lora_B.weight,0.0005681747570633888
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.q_proj.lora_A.weight,2.309051752090454
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.q_proj.lora_B.weight,0.0007247840985655785
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.v_proj.lora_A.weight,2.3057992458343506
A0_R0_CURRENT,base_model.model.model.layers.1.self_attn.v_proj.lora_B.weight,0.00035334768472239375
A0_R0_CURRENT,base_model.model.model.layers.10.mlp.down_proj.lora_A.weight,2.306234836578369
A0_R0_CURRENT,base_model.model.model.layers.10.mlp.down_proj.lora_B.weight,0.000777803361415863
A0_R0_CURRENT,base_model.model.model.layers.10.mlp.gate_proj.lora_A.weight,2.304023265838623
A0_R0_CURRENT,base_model.model.model.layers.10.mlp.gate_proj.lora_B.weight,0.0014557162066921592
A0_R0_CURRENT,base_model.model.model.layers.10.mlp.up_proj.lora_A.weight,2.3143868446350098
A0_R0_CURRENT,base_model.model.model.layers.10.mlp.up_proj.lora_B.weight,0.0014949284959584475
A0_R0_CURRENT,base_model.model.model.layers.10.self_attn.k_proj.lora_A.weight,2.3057007789611816
A0_R0_CURRENT,base_model.model.model.layers.10.self_attn.k_proj.lora_B.weight,0.00045649419189430773
