arm_a,arm_b,cosine_delta_to_init_BA,normalized_distance_delta_to_init_BA,cosine_flat,cosine_flat_note,l2_distance,normalized_distance
A0_R0_CURRENT,A1_OUTCOME_ONLY,0.8388138802425897,0.5927524825518998,0.9999999372951951,init-dominated; diagnostic only,0.01298440830820954,0.0003541901378689528
A0_R0_CURRENT,A2_R3_OUTCOME_FIRST,0.8606800171927061,0.5389627698630054,0.9999999570226453,init-dominated; diagnostic only,0.010748957537367109,0.00029321166755324465
A0_R0_CURRENT,A3_VERIFIABLE_PROCESS,0.8623589774030529,0.5573180555703898,0.9999999447909959,init-dominated; diagnostic only,0.01218319839990427,0.00033233484827815924
A0_R0_CURRENT,A4_GATED_VERIFIABLE,0.835053045345478,0.5749578374193427,0.9999999567861761,init-dominated; diagnostic only,0.010778191829022414,0.0002940093326758649
A1_OUTCOME_ONLY,A2_R3_OUTCOME_FIRST,0.8522752363436771,0.5471467718994151,0.9999999458289157,init-dominated; diagnostic only,0.012067591295771033,0.00032918066668964207
A1_OUTCOME_ONLY,A3_VERIFIABLE_PROCESS,0.8700850393282786,0.5100115323657629,0.9999999474502623,init-dominated; diagnostic only,0.011885289633248527,0.0003242075788957745
A1_OUTCOME_ONLY,A4_GATED_VERIFIABLE,0.8576044835074337,0.5530066607411215,0.9999999421355923,init-dominated; diagnostic only,0.012472698401259938,0.0003402314493197737
A2_R3_OUTCOME_FIRST,A3_VERIFIABLE_PROCESS,0.8854901259351258,0.4852013614647588,0.999999959289623,init-dominated; diagnostic only,0.010461262906240913,0.0002853632944305057
A2_R3_OUTCOME_FIRST,A4_GATED_VERIFIABLE,0.852839938702034,0.548734315938965,0.9999999572627067,init-dominated; diagnostic only,0.010718554144652892,0.0002923821399719202
A3_VERIFIABLE_PROCESS,A4_GATED_VERIFIABLE,0.8650256356426792,0.5442210802552351,0.9999999479873576,init-dominated; diagnostic only,0.011824848323692834,0.00032255953114185054
