c0_primary,count,d1_primary
SUCCESS_ALTERNATIVE_VALID,152,SUCCESS_ALTERNATIVE_VALID
SUCCESS_STRICT_GOLD,59,SUCCESS_STRICT_GOLD
FAIL_WRONG_FIRST_TOOL,58,FAIL_WRONG_FIRST_TOOL
SUCCESS_OTHER_OFFICIAL,39,SUCCESS_OTHER_OFFICIAL
FAIL_NO_TOOL_CALL,30,FAIL_NO_TOOL_CALL
FAIL_WRONG_TOOL_SEQUENCE,29,FAIL_WRONG_TOOL_SEQUENCE
FAIL_EXECUTOR_ERROR,26,FAIL_EXECUTOR_ERROR
FAIL_PARSE_INVALID,11,FAIL_PARSE_INVALID
SUCCESS_ALTERNATIVE_VALID,6,FAIL_WRONG_FIRST_TOOL
FAIL_EXECUTABLE_WRONG_ANSWER,6,FAIL_EXECUTABLE_WRONG_ANSWER
FAIL_EXECUTOR_ERROR,6,SUCCESS_ALTERNATIVE_VALID
FAIL_NO_TOOL_CALL,6,FAIL_WRONG_FIRST_TOOL
SUCCESS_OTHER_OFFICIAL,6,SUCCESS_ALTERNATIVE_VALID
FAIL_WRONG_FIRST_TOOL,5,SUCCESS_ALTERNATIVE_VALID
FAIL_OTHER,4,FAIL_OTHER
FAIL_WRONG_FIRST_TOOL,4,FAIL_WRONG_TOOL_SEQUENCE
FAIL_NO_TOOL_CALL,3,SUCCESS_ALTERNATIVE_VALID
FAIL_WRONG_FIRST_TOOL,3,SUCCESS_OTHER_OFFICIAL
FAIL_PARSE_INVALID,2,SUCCESS_ALTERNATIVE_VALID
FAIL_WRONG_FIRST_TOOL,2,FAIL_EXECUTOR_ERROR
FAIL_WRONG_TOOL_SEQUENCE,2,SUCCESS_STRICT_GOLD
FAIL_WRONG_TOOL_SEQUENCE,2,SUCCESS_ALTERNATIVE_VALID
SUCCESS_STRICT_GOLD,2,SUCCESS_ALTERNATIVE_VALID
FAIL_EXECUTOR_ERROR,2,SUCCESS_STRICT_GOLD
FAIL_WRONG_LATER_TOOL,2,FAIL_WRONG_LATER_TOOL
FAIL_EXECUTOR_ERROR,2,FAIL_WRONG_FIRST_TOOL
FAIL_WRONG_TOOL_SEQUENCE,2,FAIL_PARSE_INVALID
FAIL_WRONG_TOOL_SEQUENCE,2,FAIL_WRONG_FIRST_TOOL
SUCCESS_ALTERNATIVE_VALID,2,SUCCESS_OTHER_OFFICIAL
SUCCESS_ALTERNATIVE_VALID,2,FAIL_WRONG_TOOL_SEQUENCE
SUCCESS_ALTERNATIVE_VALID,2,FAIL_EXECUTOR_ERROR
FAIL_NO_TOOL_CALL,2,FAIL_WRONG_TOOL_SEQUENCE
SUCCESS_STRICT_GOLD,1,FAIL_EXECUTOR_ERROR
FAIL_CLIPPED_OUTPUT,1,FAIL_NO_TOOL_CALL
FAIL_WRONG_FIRST_TOOL,1,FAIL_NO_TOOL_CALL
FAIL_WRONG_TOOL_SEQUENCE,1,FAIL_WRONG_LATER_TOOL
FAIL_PARSE_INVALID,1,FAIL_WRONG_FIRST_TOOL
FAIL_EXECUTOR_ERROR,1,FAIL_NO_TOOL_CALL
SUCCESS_ALTERNATIVE_VALID,1,FAIL_EXECUTABLE_WRONG_ANSWER
FAIL_REFERENCE_SYNTAX,1,FAIL_REFERENCE_SYNTAX
SUCCESS_OTHER_OFFICIAL,1,FAIL_WRONG_FIRST_TOOL
SUCCESS_STRICT_GOLD,1,FAIL_NO_TOOL_CALL
SUCCESS_ALTERNATIVE_VALID,1,FAIL_NO_TOOL_CALL
FAIL_EXECUTOR_ERROR,1,SUCCESS_OTHER_OFFICIAL
FAIL_WRONG_TOOL_SEQUENCE,1,FAIL_OTHER
FAIL_WRONG_TOOL_SEQUENCE,1,SUCCESS_OTHER_OFFICIAL
FAIL_WRONG_LATER_TOOL,1,FAIL_WRONG_TOOL_SEQUENCE
FAIL_WRONG_FIRST_TOOL,1,FAIL_PARSE_INVALID
FAIL_WRONG_TOOL_SEQUENCE,1,FAIL_EXECUTOR_ERROR
SUCCESS_STRICT_GOLD,1,FAIL_PARSE_INVALID
SUCCESS_ALTERNATIVE_VALID,1,SUCCESS_STRICT_GOLD
