cell,diagnostic_count,train_count,unseen_in_train
3|linear|topo_1c8dbe1830b2|float|G,0,6,0
4|fan_in|topo_bd3dd51ec1a9|string|G,0,11,0
2|linear|topo_fdeb50f24873|float|G,0,41,0
5|linear|topo_d228dd6db98a|float|G,0,6,0
2|linear|topo_fdeb50f24873|float|A,0,22,0
6+|fan_in|topo_e1b2f19eddb9|float|A,0,2,0
5|fan_in|topo_7279e5f4b24a|string|A,0,8,0
2|linear|topo_fdeb50f24873|bool|A,0,13,0
6+|fan_in|topo_926312b15db7|float|A,0,5,0
3|linear|topo_1c8dbe1830b2|list|A,0,13,0
6+|fan_in|topo_bf579ac7c4b1|float|A,0,3,0
6+|linear|topo_02b29308ce2b|int|A,0,8,0
6+|fan_in|topo_2b9a65f092bb|float|A,0,1,0
5|fan_in|topo_17d840e0415f|float|G,0,1,0
6+|linear|topo_ff8ead63c33b|int|A,0,2,0
5|branch_aggregate|topo_926c72bac680|float|A,0,5,0
3|fan_in|topo_911586a55488|float|G,0,14,0
2|linear|topo_fdeb50f24873|numeric_string|A,0,11,0
6+|fan_in|topo_33e36888cf10|float|G,0,3,0
6+|branch_aggregate|topo_cff8eb87d925|int|G,0,2,0
4|branch_aggregate|topo_64b2717a77dd|float|G,0,5,0
6+|fan_in|topo_5cf1a13edea8|float|A,0,2,0
4|linear|topo_5296967693d8|float|G,0,4,0
4|linear|topo_5296967693d8|float|A,0,7,0
6+|fan_in|topo_9e01698159b0|float|A,0,3,0
3|fan_in|topo_911586a55488|float|A,0,21,0
6+|fan_in|topo_c39b8213eda5|float|A,0,2,0
6+|branch_aggregate|topo_8c144cdbfcfb|int|G,0,5,0
6+|fan_in|topo_926312b15db7|float|G,0,1,0
6+|linear|topo_ff8ead63c33b|float|G,0,1,0
6+|fan_in|topo_e5fe9f153cd3|float|A,0,2,0
4|fan_in|topo_30980484d6d7|float|A,0,10,0
4|fan_in|topo_5b37b75596d2|float|A,0,5,0
4|branch_aggregate|topo_64b2717a77dd|float|A,0,8,0
5|fan_in|topo_2b041b861492|float|G,0,3,0
6+|fan_in|topo_63f405a71afa|float|A,0,3,0
6+|fan_in|topo_9e01698159b0|float|G,0,2,0
6+|linear|topo_02b29308ce2b|float|G,0,8,0
5|fan_in|topo_0c51481d8aeb|string|A,0,3,0
6+|branch_aggregate|topo_00ac72c33abd|float|A,0,1,0
6+|fan_in|topo_4a07cdfdb909|float|A,0,1,0
6+|branch_aggregate|topo_5eeac3554b19|float|A,0,1,0
6+|linear|topo_47316b07929b|float|G,0,2,0
5|linear|topo_d228dd6db98a|float|A,0,5,0
6+|fan_in|topo_e5fe9f153cd3|float|G,0,1,0
6+|fan_in|topo_2b9a65f092bb|float|G,0,2,0
2|linear|topo_fdeb50f24873|list|A,0,3,0
6+|fan_in|topo_33e36888cf10|float|A,0,1,0
6+|fan_in|topo_4a07cdfdb909|float|G,0,1,0
6+|fan_in|topo_ace9c53050f0|float|G,0,1,0
6+|branch_aggregate|topo_d4b4ab44315e|int|G,0,1,0
6+|fan_in|topo_ca6030f187be|float|A,0,1,0
6+|fan_in|topo_4769cc1ff8df|float|A,0,1,0
6+|branch_aggregate|topo_b53a306e6f0b|float|A,0,1,0
6+|fan_in|topo_63f405a71afa|float|G,0,2,0
6+|fan_in|topo_ca6030f187be|float|G,0,1,0
5|fan_in|topo_774030263969|float|G,0,1,0
6+|fan_in|topo_c39b8213eda5|float|G,0,1,0
3|fan_in|topo_911586a55488|float|diagnostic,27,0,1
2|linear|topo_fdeb50f24873|str|diagnostic,19,0,1
5|linear|topo_d228dd6db98a|float|diagnostic,11,0,1
2|linear|topo_fdeb50f24873|int|diagnostic,11,0,1
4|fan_in|topo_30980484d6d7|float|diagnostic,20,0,1
2|linear|topo_fdeb50f24873|float|diagnostic,43,0,1
6+|fan_in|topo_619388d6c582|float|diagnostic,4,0,1
4|linear|topo_5296967693d8|float|diagnostic,30,0,1
2|linear|topo_fdeb50f24873|bool|diagnostic,6,0,1
6+|fan_in|topo_94b2ebdeffae|float|diagnostic,1,0,1
5|fan_in|topo_2b041b861492|float|diagnostic,4,0,1
5|fan_in|topo_0c51481d8aeb|float|diagnostic,14,0,1
4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,31,0,1
3|linear|topo_1c8dbe1830b2|float|diagnostic,62,0,1
5|fan_in|topo_7279e5f4b24a|float|diagnostic,10,0,1
2|linear|topo_fdeb50f24873|list|diagnostic,20,0,1
6+|fan_in|topo_dd4701abf20a|float|diagnostic,1,0,1
5|fan_in|topo_5dc2042eea23|float|diagnostic,7,0,1
5|fan_in|topo_774030263969|float|diagnostic,17,0,1
4|fan_in|topo_5b37b75596d2|float|diagnostic,19,0,1
6+|fan_in|topo_15e3d1d41487|float|diagnostic,1,0,1
6+|fan_in|topo_37f1fc553f96|float|diagnostic,4,0,1
6+|fan_in|topo_2048dd2b78ee|float|diagnostic,1,0,1
5|fan_in|topo_17d840e0415f|float|diagnostic,15,0,1
6+|fan_in|topo_6083e580bf00|float|diagnostic,1,0,1
6+|fan_in|topo_76993c3ca74e|float|diagnostic,1,0,1
