c0_win,d1_win,delta_win,joint_cell,knn_distance,nearest_train_distance,ood_decile,ood_score,outcome,sample_id,train_cell_count
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_win,000b6bed-2a29-4199-a359-0e107922a1ff,0
0,0,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.3343,0.3333,9,0.3337,loss_to_loss,01e1c208-31dc-4ae6-89ae-da9efb73c7e3,0
0,0,0,5|linear|topo_d228dd6db98a|float|diagnostic,0.2248,0.2222,4,0.2233,loss_to_loss,0214b225-23ae-4a8f-bb93-8fbaec94831c,0
1,0,-1,2|linear|topo_fdeb50f24873|int|diagnostic,0.2926,0.2249,8,0.252,win_to_loss,0219f9a1-ced9-4e6d-9b99-1570e1178b66,0
0,0,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.2306,0.2282,6,0.2292,loss_to_loss,037ab7a7-2503-4a04-9bde-f2d81c184790,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,038f3d86-b97b-49e6-b878-1b80c73fb744,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,047fb639-ca36-4a73-9407-507b8c3b4c5d,0
1,0,-1,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_loss,04bd68f8-3e77-4cda-b43f-c42616d95d33,0
0,0,0,6+|fan_in|topo_619388d6c582|float|diagnostic,0.209,0.1215,3,0.1565,loss_to_loss,04d81d58-98bf-4665-87aa-6eed765ce6f0,0
1,1,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1196,0.1167,0,0.1179,win_to_win,05b1bdbd-de3f-4773-b867-990b6006aef2,0
1,1,0,4|linear|topo_5296967693d8|float|diagnostic,0.1277,0.1182,2,0.122,win_to_win,05ec87ae-0659-42c3-82e8-a0645c4a70df,0
1,1,0,2|linear|topo_fdeb50f24873|bool|diagnostic,0.2231,0.2222,3,0.2226,win_to_win,06706b83-4657-4e2c-b372-af1d826f1b6e,0
0,0,0,6+|fan_in|topo_94b2ebdeffae|float|diagnostic,0.3607,0.3349,9,0.3452,loss_to_loss,07df2ad6-7ac0-4c6a-b79a-0b02782d0235,0
0,0,0,5|fan_in|topo_2b041b861492|float|diagnostic,0.2531,0.2247,7,0.236,loss_to_loss,081ad64a-4bb8-4a0c-b2df-c21b7bc8cc35,0
0,0,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.334,0.3337,9,0.3338,loss_to_loss,091b5d2a-206a-4ac4-81df-754ec6393b92,0
0,0,0,5|fan_in|topo_0c51481d8aeb|float|diagnostic,0.2533,0.2247,7,0.2361,loss_to_loss,0a126d0d-6cfc-4370-b0e1-765cae294529,0
0,1,1,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_win,0a78c579-29ef-4c96-918c-e8df417194dc,0
1,1,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.1202,0.1171,1,0.1183,win_to_win,0af2696a-9970-4e55-ad31-57e14ca65f20,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,win_to_win,0b84b61f-8ee3-443f-a2f6-120462682951,0
0,0,0,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,loss_to_loss,0b8c39be-fcda-4d8c-b2d9-710a48d8d955,0
1,1,0,5|fan_in|topo_7279e5f4b24a|float|diagnostic,0.2355,0.2317,7,0.2332,win_to_win,0baca5f1-6810-42b0-a9b4-051f76316bf1,0
0,0,0,2|linear|topo_fdeb50f24873|list|diagnostic,0.2319,0.2247,4,0.2276,loss_to_loss,0bb06ff9-8b0e-4eba-ae38-7dbab0ccc741,0
1,1,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,win_to_win,0c3f5a6d-1aec-4d52-9310-c0e0ab651fef,0
1,1,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,win_to_win,0c5881b2-9556-42dd-8922-00d35a26becd,0
0,0,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.2229,0.2226,3,0.2227,loss_to_loss,0cea3214-8bbb-443a-943e-de9038f8b5f9,0
0,0,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.2923,0.224,8,0.2513,loss_to_loss,0d77d7ab-46ff-419f-882f-a34511651f6a,0
0,0,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_loss,0e370f74-67af-4218-a65f-8f39d4562c48,0
0,0,0,6+|fan_in|topo_dd4701abf20a|float|diagnostic,0.2534,0.2255,7,0.2366,loss_to_loss,0edcb8a5-990e-4830-b55e-f920ac2ec474,0
0,0,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.168,0.1216,3,0.1402,loss_to_loss,0ef8ad41-e5ac-47dc-bc73-3ff7e647aa7e,0
0,1,1,2|linear|topo_fdeb50f24873|int|diagnostic,0.275,0.2246,7,0.2447,loss_to_win,0f0a365f-d57e-4682-891b-b43b9d244d33,0
0,0,0,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,loss_to_loss,0f1d3aca-4e40-45a9-b1e8-9ef76e1e1cd2,0
1,1,0,5|fan_in|topo_5dc2042eea23|float|diagnostic,0.2485,0.116,3,0.169,win_to_win,0f4234c1-7508-46d2-85b3-6f659be4a9e5,0
1,1,0,5|fan_in|topo_774030263969|float|diagnostic,0.2533,0.2247,7,0.2361,win_to_win,0fcd0f80-2059-4e14-ba8f-04a89cb13ec8,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.2347,0.2318,7,0.2329,win_to_win,100cb8c9-03ec-428f-ad0c-75e2fc296aaa,0
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.118,0.1111,0,0.1139,win_to_win,10994d45-1097-43fa-965c-6cbdd1f7a2a0,0
