dominant_output_key,n_refs,output_key_hist,pattern_hist,sample_id,source
output_0,4,{'output_0': 4},{0: 4},ttdf_2134f49bd3ad,train
output_0,4,{'output_0': 4},{0: 4},ttdf_a59ae8939796,train
output_0,1,{'output_0': 1},{0: 1},ttdf_562e14e68ec4,train
output_0,3,{'output_0': 3},{0: 3},ttdf_4753fd527f32,train
output_0,2,{'output_0': 2},{0: 2},ttdf_a67dd02aea22,train
output_0,6,{'output_0': 6},{0: 6},ttdf_2930e4ea8e12,train
output_0,7,{'output_0': 7},{0: 7},ttdf_5142b25ba487,train
output_0,1,{'output_0': 1},{0: 1},ttdf_3890bd39e665,train
output_0,1,{'output_0': 1},{0: 1},ttdf_532d50f0732d,train
output_0,3,{'output_0': 3},{0: 3},ttdf_0912a2d9b2db,train
output_0,7,{'output_0': 7},{0: 7},ttdf_206eda2ac240,train
output_0,1,{'output_0': 1},{0: 1},ttdf_8b4d367aa455,train
output_0,2,{'output_0': 2},{0: 2},ttdf_4372e82cfaea,train
output_0,7,{'output_0': 7},{0: 7},ttdf_287fde663010,train
output_0,6,{'output_0': 6},{0: 6},ttdf_6f1063fd2398,train
output_0,4,{'output_0': 4},{0: 4},ttdf_01f1f3477121,train
output_0,4,{'output_0': 4},{0: 4},ttdf_30257f6cbd9c,train
output_0,3,{'output_0': 3},{0: 3},ttdf_2b01f67e9a1d,train
output_0,3,{'output_0': 3},{0: 3},ttdf_6ce24f7abecb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_535dbe9527dd,train
output_0,2,{'output_0': 2},{0: 2},ttdf_9989ceca2df4,train
output_0,3,{'output_0': 3},{0: 3},ttdf_762653723791,train
output_0,1,{'output_0': 1},{0: 1},ttdf_32bbf29428a3,train
output_0,3,{'output_0': 3},{0: 3},ttdf_65fef5d2a589,train
output_0,1,{'output_0': 1},{0: 1},ttdf_9814264bbca9,train
output_0,2,{'output_0': 2},{0: 2},ttdf_6c2b44eaafa2,train
output_0,5,{'output_0': 5},{0: 5},ttdf_36094f981041,train
output_0,4,{'output_0': 4},{0: 4},ttdf_4ee189eb3fb1,train
output_0,3,{'output_0': 3},{0: 3},ttdf_0bb1edecd7d4,train
output_0,2,{'output_0': 2},{0: 2},ttdf_2210f8e4201b,train
output_0,6,{'output_0': 6},{0: 6},ttdf_142e470b86c2,train
output_0,5,{'output_0': 5},{0: 5},ttdf_009269876b66,train
output_0,5,{'output_0': 5},{0: 5},ttdf_56b1d8a50298,train
output_0,4,{'output_0': 4},{0: 4},ttdf_c15843d5094d,train
output_0,7,{'output_0': 7},{0: 7},ttdf_6ed43fbfeb46,train
output_0,6,{'output_0': 6},{0: 6},ttdf_0416cb3ea7d0,train
output_0,7,{'output_0': 7},{0: 7},ttdf_35d324d3ffea,train
output_0,1,{'output_0': 1},{0: 1},ttdf_88cc673c47eb,train
output_0,2,{'output_0': 2},{0: 2},ttdf_79ec19983689,train
output_0,1,{'output_0': 1},{0: 1},ttdf_beacd9fdac7e,train
output_0,5,{'output_0': 5},{0: 5},ttdf_f2d6523184d3,train
output_0,5,{'output_0': 5},{0: 5},ttdf_4a6b1917bc52,train
output_0,4,{'output_0': 4},{0: 4},ttdf_2bd67a52622b,train
output_0,4,{'output_0': 4},{0: 4},ttdf_d462deb8e784,train
output_0,2,{'output_0': 2},{0: 2},ttdf_0ac44cdaf224,train
output_0,6,{'output_0': 6},{0: 6},ttdf_2850ab74f908,train
output_0,2,{'output_0': 2},{0: 2},ttdf_6feadde0e7c7,train
output_0,7,{'output_0': 7},{0: 7},ttdf_497784555320,train
output_0,2,{'output_0': 2},{0: 2},ttdf_9adc092f5240,train
output_0,1,{'output_0': 1},{0: 1},ttdf_696a0338152e,train
output_0,1,{'output_0': 1},{0: 1},ttdf_34774153f67e,train
output_0,2,{'output_0': 2},{0: 2},ttdf_9c6991e79a3c,train
output_0,5,{'output_0': 5},{0: 5},ttdf_b10884256be0,train
output_0,1,{'output_0': 1},{0: 1},ttdf_448c81905933,train
output_0,1,{'output_0': 1},{0: 1},ttdf_76ae9ab480c4,train
output_0,6,{'output_0': 6},{0: 6},ttdf_1814be9dc2b9,train
output_0,1,{'output_0': 1},{0: 1},ttdf_79c11b834e64,train
output_0,1,{'output_0': 1},{0: 1},ttdf_5828bcf6bed4,train
output_0,1,{'output_0': 1},{0: 1},ttdf_1944101ba044,train
output_0,5,{'output_0': 5},{0: 5},ttdf_609f3bf21351,train
output_0,5,{'output_0': 5},{0: 5},ttdf_4f9e7d9f04f2,train
output_0,2,{'output_0': 2},{0: 2},ttdf_cbb29c153948,train
output_0,4,{'output_0': 4},{0: 4},ttdf_8627d42eb743,train
output_0,3,{'output_0': 3},{0: 3},ttdf_03c34f015946,train
output_0,1,{'output_0': 1},{0: 1},ttdf_614e38f5786f,train
output_0,1,{'output_0': 1},{0: 1},ttdf_3ac461b80bd0,train
output_0,2,{'output_0': 2},{0: 2},ttdf_5f2eb8ec39ec,train
output_0,2,{'output_0': 2},{0: 2},ttdf_24e54df2031a,train
output_0,4,{'output_0': 4},{0: 4},ttdf_a10762cd3fdb,train
output_0,1,{'output_0': 1},{0: 1},ttdf_afb97edec7a8,train
output_0,2,{'output_0': 2},{0: 2},ttdf_8b876d1a510b,train
output_0,1,{'output_0': 1},{0: 1},ttdf_8e27b528afe7,train
output_0,3,{'output_0': 3},{0: 3},ttdf_d77d7fc9291c,train
output_0,3,{'output_0': 3},{0: 3},ttdf_0302cc191877,train
output_0,1,{'output_0': 1},{0: 1},ttdf_2ac5d4140b18,train
output_0,2,{'output_0': 2},{0: 2},ttdf_2ea5f1624fa2,train
output_0,1,{'output_0': 1},{0: 1},ttdf_3797b7e4ed31,train
output_0,1,{'output_0': 1},{0: 1},ttdf_628a16995bb0,train
output_0,1,{'output_0': 1},{0: 1},ttdf_7aaff747a472,train
output_0,1,{'output_0': 1},{0: 1},ttdf_39dadfc9a63a,train
output_0,2,{'output_0': 2},{0: 2},ttdf_93306ab0293b,train
output_0,2,{'output_0': 2},{0: 2},ttdf_4f5fa4d0edc3,train
output_0,5,{'output_0': 5},{0: 5},ttdf_21c32f38a7df,train
output_0,5,{'output_0': 5},{0: 5},ttdf_a853767b29e2,train
output_0,6,{'output_0': 6},{0: 6},ttdf_055a08a7b8e6,train
output_0,5,{'output_0': 5},{0: 5},ttdf_51b603b67262,train
output_0,2,{'output_0': 2},{0: 2},ttdf_96d94ff64972,train
output_0,2,{'output_0': 2},{0: 2},ttdf_3a5e77bbf1ec,train
output_0,3,{'output_0': 3},{0: 3},ttdf_73c3bd29a893,train
output_0,2,{'output_0': 2},{0: 2},ttdf_6236022fff78,train
output_0,7,{'output_0': 7},{0: 7},ttdf_042a0741f757,train
output_0,4,{'output_0': 4},{0: 4},ttdf_5491747156bf,train
output_0,1,{'output_0': 1},{0: 1},ttdf_675dde9d7635,train
output_0,1,{'output_0': 1},{0: 1},ttdf_58fc5fc03091,train
output_0,3,{'output_0': 3},{0: 3},ttdf_11be16ca0757,train
output_0,2,{'output_0': 2},{0: 2},ttdf_3c25e92d81b4,train
output_0,1,{'output_0': 1},{0: 1},ttdf_95dcc556032f,train
output_0,5,{'output_0': 5},{0: 5},ttdf_036e79c79a8e,train
output_0,3,{'output_0': 3},{0: 3},ttdf_18c3ae8229a1,train
output_0,3,{'output_0': 3},{0: 3},ttdf_09941df0e2e9,train
output_0,1,{'output_0': 1},{0: 1},ttdf_30604a02a4a5,train
output_0,1,{'output_0': 1},{0: 1},ttdf_bf7a987620ae,train
output_0,2,{'output_0': 2},{0: 2},ttdf_1d4b98d1172c,train
output_0,5,{'output_0': 5},{0: 5},ttdf_7636df369798,train
output_0,2,{'output_0': 2},{0: 2},ttdf_1691d81231be,train
output_0,3,{'output_0': 3},{0: 3},ttdf_e4e89fb61074,train
output_0,1,{'output_0': 1},{0: 1},ttdf_00a9b63f9539,train
output_0,5,{'output_0': 5},{0: 5},ttdf_0613679509cc,train
output_0,4,{'output_0': 4},{0: 4},ttdf_b56694488ef2,train
output_0,2,{'output_0': 2},{0: 2},ttdf_ca94c57fb5b6,train
output_0,4,{'output_0': 4},{0: 4},ttdf_4518b2b9440b,train
output_0,5,{'output_0': 5},{0: 5},ttdf_15f30b4bf2db,train
output_0,1,{'output_0': 1},{0: 1},ttdf_494229fe9fca,train
output_0,5,{'output_0': 5},{0: 5},ttdf_0352a123b4c5,train
output_0,4,{'output_0': 4},{0: 4},ttdf_53085e019315,train
output_0,5,{'output_0': 5},{0: 5},ttdf_4325d506688c,train
output_0,2,{'output_0': 2},{0: 2},ttdf_3ff5ed2826dc,train
output_0,6,{'output_0': 6},{0: 6},ttdf_4b3dc624a4eb,train
output_0,5,{'output_0': 5},{0: 5},ttdf_fe5ae9b9a99a,train
output_0,2,{'output_0': 2},{0: 2},ttdf_8f88fd432c9f,train
output_0,1,{'output_0': 1},{0: 1},ttdf_8ac099ed9122,train
output_0,5,{'output_0': 5},{0: 5},ttdf_263dd441e6c7,train
output_0,3,{'output_0': 3},{0: 3},ttdf_e66bdf672840,train
