answer_type,call_bucket,call_count,depth,distractor_count,distractor_hardness,generation_cell,graph_template_id,motif,offered_tool_count,paraphrase_status,reference_density,sample_id,semantic_program_family,source,target_failure_mode,target_skill,topology_hash,track
float,3,3,3,5,0.035,G_3call_linear_variable_pla_00,gt_9def4274cf86,linear,8,unknown,0.222222,ttdf_0982b2624c98,pf_3bf05bf9b2dc,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,G
string,4,4,3,8,0.0088,G_4call_fan_in_variable_pla_00,gt_5f6bb4444675,fan_in,12,unknown,0.5,ttdf_a1f4522870c7,pf_5fd37c0f4186,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
float,2,2,2,8,0.0,G_2call_linear_continuation_01,gt_84f219ac023d,linear,10,unknown,0.333333,ttdf_88d02f070bad,pf_dfdbf917c414,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,5,5,5,4,0.0194,G_5call_linear_long_horizon_00,gt_8bb2183cdfb4,linear,9,unknown,0.4,ttdf_acf64105ab0f,pf_fca031497c4e,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,G
float,2,2,2,9,0.0,A_2call_linear_continuation_04,gt_29243c224d3b,linear,11,unknown,0.333333,ttdf_52e02b0074e9,pf_dcf56c923285,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,6+,8,6,3,0.0583,A_6pcall_fan_in_long_horizon_00,gt_28cbb0cc5879,fan_in,11,unknown,0.538462,ttdf_28600db1173f,pf_407048606066,train300,premature_stop,long_horizon_planning,topo_e1b2f19eddb9,A
string,5,5,4,5,0.0175,A_5call_fan_in_long_horizon_00,gt_3c3895b10ae7,fan_in,10,unknown,0.444444,ttdf_4bcc0bcb441d,pf_1c4eaa91de8c,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
string,4,4,3,6,0.0331,G_4call_fan_in_variable_pla_00,gt_1c7a67f6f240,fan_in,10,unknown,0.428571,ttdf_c03e76b84f89,pf_5b234ce78cbf,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
bool,2,2,2,8,0.0109,A_2call_linear_continuation_01,gt_c3d71141b1a5,linear,10,unknown,0.333333,ttdf_3890bd39e665,pf_c7821830b231,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
string,5,5,4,6,0.0146,A_5call_fan_in_long_horizon_00,gt_90872a8d2737,fan_in,11,unknown,0.4,ttdf_7fa1ac8fa957,pf_aea024922d86,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
float,6+,6,5,3,0.0467,A_6pcall_fan_in_tool_catalog_02,gt_02418c6865c6,fan_in,9,unknown,0.5,ttdf_1897e88c19ac,pf_b477355b983c,train300,distractor_confusion,tool_catalog_search,topo_926312b15db7,A
float,2,2,2,8,0.0219,G_2call_linear_continuation_01,gt_84f219ac023d,linear,10,unknown,0.333333,ttdf_2ad0d860622d,pf_2dcb4038757b,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
list,3,3,3,5,0.0467,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,8,unknown,0.2,ttdf_a180adf5caad,pf_6c30ead0e92c,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
float,6+,8,5,7,0.0525,A_6pcall_fan_in_tool_catalog_01,gt_8ced11016e22,fan_in,15,unknown,0.538462,ttdf_2460d1e882f0,pf_6b94ea79b9f7,train300,distractor_confusion,tool_catalog_search,topo_bf579ac7c4b1,A
int,6+,6,6,3,0.0,A_6pcall_linear_long_horizon_00,gt_77788a02ec6f,linear,9,unknown,0.454545,ttdf_6c5b125b6094,pf_3285c458e8b3,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
float,6+,6,4,9,0.0379,A_6pcall_fan_in_tool_catalog_01,gt_f1244426c8f8,fan_in,15,unknown,0.454545,ttdf_ccbe76d8ecaa,pf_84646aa90542,train300,distractor_confusion,tool_catalog_search,topo_2b9a65f092bb,A
float,5,5,3,6,0.0,G_5call_fan_in_long_horizon_00,gt_a5440c863cba,fan_in,11,unknown,0.444444,ttdf_0dbc7c25bb47,pf_7799fa2bf484,train300,premature_stop,long_horizon_planning,topo_17d840e0415f,G
int,6+,8,8,3,0.0817,A_6pcall_linear_long_horizon_00,gt_ea26242e3c2b,linear,11,unknown,0.466667,ttdf_287fde663010,pf_f8349436ce7e,train300,premature_stop,long_horizon_planning,topo_ff8ead63c33b,A
float,5,5,3,13,0.0426,A_5call_branch_aggregate_tool_catalog_00,gt_883a97f83799,branch_aggregate,18,unknown,0.4,ttdf_441384bb0445,pf_dc6506b5b931,train300,distractor_confusion,tool_catalog_search,topo_926c72bac680,A
float,2,2,2,7,0.0,G_2call_linear_continuation_03,gt_84f219ac023d,linear,9,unknown,0.333333,ttdf_178a8a0f527a,pf_17d3ced556e5,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
list,3,3,3,5,0.0525,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,8,unknown,0.25,ttdf_8d038da60286,pf_b47ea705cc19,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
int,6+,6,6,3,0.0729,A_6pcall_linear_long_horizon_00,gt_197dedb51884,linear,9,unknown,0.555556,ttdf_7a8cd7efbc21,pf_5d513894f256,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
float,3,3,2,7,0.0,G_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,10,unknown,0.4,ttdf_07480376bda3,pf_fe5f23305201,train300,too_few_calls,variable_planning,topo_911586a55488,G
string,4,4,3,8,0.0583,G_4call_fan_in_variable_pla_00,gt_1ae4a196c464,fan_in,12,unknown,0.5,ttdf_230424364880,pf_c3931f8a570f,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
