call_bucket,count,motif,source,topology_hash
2,90,linear,train300,topo_fdeb50f24873
3,35,fan_in,train300,topo_911586a55488
3,19,linear,train300,topo_1c8dbe1830b2
6+,16,linear,train300,topo_02b29308ce2b
4,13,fan_in,train300,topo_64b2717a77dd
4,11,fan_in,train300,topo_bd3dd51ec1a9
5,11,linear,train300,topo_d228dd6db98a
4,11,linear,train300,topo_5296967693d8
4,10,fan_in,train300,topo_30980484d6d7
5,8,fan_in,train300,topo_7279e5f4b24a
6+,6,fan_in,train300,topo_926312b15db7
5,5,fan_in,train300,topo_926c72bac680
6+,5,fan_in,train300,topo_9e01698159b0
6+,5,fan_in,train300,topo_8c144cdbfcfb
4,5,fan_in,train300,topo_5b37b75596d2
6+,5,fan_in,train300,topo_63f405a71afa
6+,4,fan_in,train300,topo_33e36888cf10
6+,3,fan_in,train300,topo_bf579ac7c4b1
6+,3,fan_in,train300,topo_2b9a65f092bb
6+,3,linear,train300,topo_ff8ead63c33b
6+,3,fan_in,train300,topo_c39b8213eda5
6+,3,fan_in,train300,topo_e5fe9f153cd3
5,3,fan_in,train300,topo_2b041b861492
5,3,fan_in,train300,topo_0c51481d8aeb
6+,2,fan_in,train300,topo_e1b2f19eddb9
6+,2,fan_in,train300,topo_cff8eb87d925
6+,2,fan_in,train300,topo_5cf1a13edea8
6+,2,fan_in,train300,topo_4a07cdfdb909
6+,2,linear,train300,topo_47316b07929b
6+,2,fan_in,train300,topo_ca6030f187be
5,1,fan_in,train300,topo_17d840e0415f
6+,1,fan_in,train300,topo_00ac72c33abd
6+,1,fan_in,train300,topo_5eeac3554b19
6+,1,fan_in,train300,topo_ace9c53050f0
6+,1,fan_in,train300,topo_d4b4ab44315e
6+,1,fan_in,train300,topo_4769cc1ff8df
6+,1,fan_in,train300,topo_b53a306e6f0b
5,1,fan_in,train300,topo_774030263969
2,100,linear,diagnostic,topo_fdeb50f24873
3,66,linear,diagnostic,topo_1c8dbe1830b2
4,31,fan_in,diagnostic,topo_bd3dd51ec1a9
4,30,linear,diagnostic,topo_5296967693d8
3,28,fan_in,diagnostic,topo_911586a55488
4,20,fan_in,diagnostic,topo_30980484d6d7
4,19,fan_in,diagnostic,topo_5b37b75596d2
5,17,fan_in,diagnostic,topo_774030263969
5,15,fan_in,diagnostic,topo_17d840e0415f
5,14,fan_in,diagnostic,topo_0c51481d8aeb
5,12,fan_in,diagnostic,topo_6011a58939eb
5,11,linear,diagnostic,topo_d228dd6db98a
5,10,fan_in,diagnostic,topo_7279e5f4b24a
5,10,fan_in,diagnostic,topo_52c12a6fa235
5,7,fan_in,diagnostic,topo_5dc2042eea23
6+,4,fan_in,diagnostic,topo_619388d6c582
5,4,fan_in,diagnostic,topo_2b041b861492
6+,4,fan_in,diagnostic,topo_37f1fc553f96
6+,4,linear,diagnostic,topo_02b29308ce2b
3,3,mixed,diagnostic,topo_5c49d2fff8bb
6+,3,fan_in,diagnostic,topo_c39b8213eda5
6+,3,fan_in,diagnostic,topo_2b9a65f092bb
6+,3,fan_in,diagnostic,topo_f5466e583fca
6+,3,fan_in,diagnostic,topo_5cf1a13edea8
6+,3,fan_in,diagnostic,topo_053156353fa9
6+,2,fan_in,diagnostic,topo_596ff8eb2493
3,2,mixed,diagnostic,topo_c654e84914a1
6+,2,fan_in,diagnostic,topo_274cced67f83
6+,2,fan_in,diagnostic,topo_3d776f83e4a8
6+,2,fan_in,diagnostic,topo_864e6cf733bb
6+,2,fan_in,diagnostic,topo_a4503152b38a
6+,2,fan_in,diagnostic,topo_1419cc3c6547
6+,2,fan_in,diagnostic,topo_ebc77146d886
6+,1,fan_in,diagnostic,topo_94b2ebdeffae
6+,1,fan_in,diagnostic,topo_dd4701abf20a
6+,1,fan_in,diagnostic,topo_15e3d1d41487
6+,1,fan_in,diagnostic,topo_2048dd2b78ee
6+,1,fan_in,diagnostic,topo_6083e580bf00
6+,1,fan_in,diagnostic,topo_76993c3ca74e
6+,1,fan_in,diagnostic,topo_48ee082e2dae
6+,1,fan_in,diagnostic,topo_d8766ac6f63e
6+,1,fan_in,diagnostic,topo_d03a09e50cd7
6+,1,fan_in,diagnostic,topo_86dba62bb2ea
6+,1,fan_in,diagnostic,topo_a4f44e275b70
6+,1,fan_in,diagnostic,topo_9c6659eccfdc
6+,1,fan_in,diagnostic,topo_ace9c53050f0
6+,1,fan_in,diagnostic,topo_3c002cc9f59b
6+,1,fan_in,diagnostic,topo_db1e543362bf
3,1,mixed,diagnostic,topo_5651f3cf682e
6+,1,fan_in,diagnostic,topo_63f405a71afa
6+,1,fan_in,diagnostic,topo_549e2ec96bd6
6+,1,fan_in,diagnostic,topo_91a9e4f44c24
6+,1,fan_in,diagnostic,topo_adbf88b7e219
6+,1,fan_in,diagnostic,topo_606006e98bc2
6+,1,fan_in,diagnostic,topo_f2c32ff10fdc
6+,1,fan_in,diagnostic,topo_c373e6561341
6+,1,fan_in,diagnostic,topo_c48b6a5162a2
6+,1,fan_in,diagnostic,topo_2bf14060bc2a
6+,1,fan_in,diagnostic,topo_9a499ee71ea4
6+,1,fan_in,diagnostic,topo_b08dfd9f1e9d
6+,1,fan_in,diagnostic,topo_53d4d124e14a
6+,1,fan_in,diagnostic,topo_2c3eca3d7e46
6+,1,fan_in,diagnostic,topo_41ec797c710c
6+,1,fan_in,diagnostic,topo_5391d564a99d
6+,1,fan_in,diagnostic,topo_0d3a7c5d1144
6+,1,fan_in,diagnostic,topo_b66425026a59
6+,1,fan_in,diagnostic,topo_f371c45e3895
6+,1,fan_in,diagnostic,topo_ae6ad51c2944
6+,1,fan_in,diagnostic,topo_7a3a64b95a12
6+,1,fan_in,diagnostic,topo_57e4cb13eb3f
6+,1,fan_in,diagnostic,topo_a3f910781fb0
6+,1,fan_in,diagnostic,topo_6c52cad17634
6+,1,fan_in,diagnostic,topo_cd7f4c91b6f3
6+,1,fan_in,diagnostic,topo_8c9ca7dddd8f
6+,1,fan_in,diagnostic,topo_877fd82ed260
6+,1,fan_in,diagnostic,topo_db320d0d30c9
6+,1,fan_in,diagnostic,topo_3fc4ea9607be
6+,1,fan_in,diagnostic,topo_a3a2cea2761d
6+,1,fan_in,diagnostic,topo_488ca23233c7
6+,1,fan_in,diagnostic,topo_c9df77cdba57
6+,1,fan_in,diagnostic,topo_73c0a91d9e5f
6+,1,fan_in,diagnostic,topo_4ad60a205ffc
6+,1,fan_in,diagnostic,topo_de1df42fc028
