count,share,source,topology_hash
90,0.3,train300,topo_fdeb50f24873
35,0.11666666666666667,train300,topo_911586a55488
19,0.06333333333333334,train300,topo_1c8dbe1830b2
16,0.05333333333333334,train300,topo_02b29308ce2b
13,0.043333333333333335,train300,topo_64b2717a77dd
11,0.03666666666666667,train300,topo_bd3dd51ec1a9
11,0.03666666666666667,train300,topo_d228dd6db98a
11,0.03666666666666667,train300,topo_5296967693d8
10,0.03333333333333333,train300,topo_30980484d6d7
8,0.02666666666666667,train300,topo_7279e5f4b24a
6,0.02,train300,topo_926312b15db7
5,0.016666666666666666,train300,topo_926c72bac680
5,0.016666666666666666,train300,topo_9e01698159b0
5,0.016666666666666666,train300,topo_8c144cdbfcfb
5,0.016666666666666666,train300,topo_5b37b75596d2
5,0.016666666666666666,train300,topo_63f405a71afa
4,0.013333333333333334,train300,topo_33e36888cf10
3,0.01,train300,topo_bf579ac7c4b1
3,0.01,train300,topo_2b9a65f092bb
3,0.01,train300,topo_ff8ead63c33b
182,0.30333333333333334,train600,topo_fdeb50f24873
82,0.13666666666666666,train600,topo_911586a55488
33,0.055,train600,topo_bd3dd51ec1a9
33,0.055,train600,topo_1c8dbe1830b2
30,0.05,train600,topo_02b29308ce2b
17,0.028333333333333332,train600,topo_5296967693d8
17,0.028333333333333332,train600,topo_d228dd6db98a
14,0.023333333333333334,train600,topo_926c72bac680
12,0.02,train600,topo_64b2717a77dd
11,0.018333333333333333,train600,topo_ff8ead63c33b
11,0.018333333333333333,train600,topo_0c51481d8aeb
11,0.018333333333333333,train600,topo_33e36888cf10
11,0.018333333333333333,train600,topo_17d840e0415f
10,0.016666666666666666,train600,topo_7279e5f4b24a
9,0.015,train600,topo_b53a306e6f0b
8,0.013333333333333334,train600,topo_774030263969
8,0.013333333333333334,train600,topo_00ac72c33abd
7,0.011666666666666667,train600,topo_30980484d6d7
7,0.011666666666666667,train600,topo_6083e580bf00
6,0.01,train600,topo_47316b07929b
49,0.245,heldout,topo_fdeb50f24873
30,0.15,heldout,topo_911586a55488
22,0.11,heldout,topo_1c8dbe1830b2
11,0.055,heldout,topo_5296967693d8
