subset_position,subset_sample_id,match_level,parent_position,parent_sample_id,same_sample_id,same_position
0,ttdf_0982b2624c98,exact,0,ttdf_0982b2624c98,True,True
1,ttdf_a1f4522870c7,exact,1,ttdf_a1f4522870c7,True,True
2,ttdf_88d02f070bad,exact,2,ttdf_88d02f070bad,True,True
3,ttdf_acf64105ab0f,exact,3,ttdf_acf64105ab0f,True,True
4,ttdf_52e02b0074e9,exact,4,ttdf_52e02b0074e9,True,True
5,ttdf_28600db1173f,exact,5,ttdf_28600db1173f,True,True
6,ttdf_4bcc0bcb441d,exact,6,ttdf_4bcc0bcb441d,True,True
7,ttdf_c03e76b84f89,exact,7,ttdf_c03e76b84f89,True,True
8,ttdf_3890bd39e665,exact,8,ttdf_3890bd39e665,True,True
9,ttdf_7fa1ac8fa957,exact,9,ttdf_7fa1ac8fa957,True,True
10,ttdf_1897e88c19ac,exact,10,ttdf_1897e88c19ac,True,True
11,ttdf_2ad0d860622d,exact,11,ttdf_2ad0d860622d,True,True
12,ttdf_a180adf5caad,exact,12,ttdf_a180adf5caad,True,True
13,ttdf_2460d1e882f0,exact,13,ttdf_2460d1e882f0,True,True
14,ttdf_6c5b125b6094,exact,14,ttdf_6c5b125b6094,True,True
15,ttdf_ccbe76d8ecaa,exact,15,ttdf_ccbe76d8ecaa,True,True
16,ttdf_0dbc7c25bb47,exact,16,ttdf_0dbc7c25bb47,True,True
17,ttdf_287fde663010,exact,17,ttdf_287fde663010,True,True
18,ttdf_441384bb0445,exact,18,ttdf_441384bb0445,True,True
19,ttdf_178a8a0f527a,exact,19,ttdf_178a8a0f527a,True,True
20,ttdf_8d038da60286,exact,20,ttdf_8d038da60286,True,True
21,ttdf_7a8cd7efbc21,exact,21,ttdf_7a8cd7efbc21,True,True
22,ttdf_07480376bda3,exact,22,ttdf_07480376bda3,True,True
23,ttdf_230424364880,exact,23,ttdf_230424364880,True,True
24,ttdf_4b357fd5b95a,exact,24,ttdf_4b357fd5b95a,True,True
25,ttdf_3f2d4ea393f1,exact,25,ttdf_3f2d4ea393f1,True,True
26,ttdf_342238ec5a2f,exact,26,ttdf_342238ec5a2f,True,True
27,ttdf_4b29c1b00ae7,exact,27,ttdf_4b29c1b00ae7,True,True
28,ttdf_111e18412f56,exact,28,ttdf_111e18412f56,True,True
29,ttdf_06ba5fd3d7c3,exact,29,ttdf_06ba5fd3d7c3,True,True
30,ttdf_073c6869b54b,exact,30,ttdf_073c6869b54b,True,True
31,ttdf_666553ac6372,exact,31,ttdf_666553ac6372,True,True
32,ttdf_04b100a77d6b,exact,32,ttdf_04b100a77d6b,True,True
33,ttdf_44a69f3a000c,exact,33,ttdf_44a69f3a000c,True,True
34,ttdf_69d78b25ecdb,exact,34,ttdf_69d78b25ecdb,True,True
35,ttdf_6b382eec9221,exact,35,ttdf_6b382eec9221,True,True
36,ttdf_32f8db136cdc,exact,36,ttdf_32f8db136cdc,True,True
37,ttdf_91ce845dfc74,exact,37,ttdf_91ce845dfc74,True,True
38,ttdf_e53835bd8b41,exact,38,ttdf_e53835bd8b41,True,True
39,ttdf_69e7c7a49fab,exact,39,ttdf_69e7c7a49fab,True,True
40,ttdf_ee3338b844bc,exact,40,ttdf_ee3338b844bc,True,True
41,ttdf_a321a8fea7c6,exact,41,ttdf_a321a8fea7c6,True,True
42,ttdf_aea8532a868d,exact,42,ttdf_aea8532a868d,True,True
43,ttdf_66d5f1634190,exact,43,ttdf_66d5f1634190,True,True
44,ttdf_56bf89459e7b,exact,44,ttdf_56bf89459e7b,True,True
45,ttdf_2432f8fea920,exact,45,ttdf_2432f8fea920,True,True
46,ttdf_714fa6330c3c,exact,46,ttdf_714fa6330c3c,True,True
47,ttdf_450ce5ca6048,exact,47,ttdf_450ce5ca6048,True,True
48,ttdf_8e5da6fd9015,exact,48,ttdf_8e5da6fd9015,True,True
49,ttdf_57d7f411a136,exact,49,ttdf_57d7f411a136,True,True
50,ttdf_b9c7c5612106,exact,50,ttdf_b9c7c5612106,True,True
51,ttdf_d445e31ec556,exact,51,ttdf_d445e31ec556,True,True
52,ttdf_adc8691711e1,exact,52,ttdf_adc8691711e1,True,True
53,ttdf_b0378d970ec5,exact,53,ttdf_b0378d970ec5,True,True
54,ttdf_9c88a0d5bac6,exact,54,ttdf_9c88a0d5bac6,True,True
55,ttdf_4afe482200e9,exact,55,ttdf_4afe482200e9,True,True
56,ttdf_6664b63ddfd4,exact,56,ttdf_6664b63ddfd4,True,True
57,ttdf_e5021edcbcdb,exact,57,ttdf_e5021edcbcdb,True,True
58,ttdf_663a6484d0e5,exact,58,ttdf_663a6484d0e5,True,True
59,ttdf_3d16ba355ab3,exact,59,ttdf_3d16ba355ab3,True,True
60,ttdf_086b0471e443,exact,60,ttdf_086b0471e443,True,True
61,ttdf_18f30aeb87df,exact,61,ttdf_18f30aeb87df,True,True
62,ttdf_8b6bd6e0d113,exact,62,ttdf_8b6bd6e0d113,True,True
63,ttdf_9e944e9be9ad,exact,63,ttdf_9e944e9be9ad,True,True
64,ttdf_702a492e1d93,exact,64,ttdf_702a492e1d93,True,True
65,ttdf_1b88e197cf8c,exact,65,ttdf_1b88e197cf8c,True,True
66,ttdf_5e8ed8ea8e8c,exact,66,ttdf_5e8ed8ea8e8c,True,True
67,ttdf_feca9749fcb1,exact,67,ttdf_feca9749fcb1,True,True
68,ttdf_404c1b18b8c7,exact,68,ttdf_404c1b18b8c7,True,True
69,ttdf_1212887f9519,exact,69,ttdf_1212887f9519,True,True
70,ttdf_1944101ba044,exact,70,ttdf_1944101ba044,True,True
71,ttdf_c4b9bd3d8f9b,exact,71,ttdf_c4b9bd3d8f9b,True,True
72,ttdf_da8bde0dff1f,exact,72,ttdf_da8bde0dff1f,True,True
73,ttdf_33820d4ecd0d,exact,73,ttdf_33820d4ecd0d,True,True
74,ttdf_ab3e20f5b9f5,exact,74,ttdf_ab3e20f5b9f5,True,True
75,ttdf_adb0a11b7c8e,exact,75,ttdf_adb0a11b7c8e,True,True
76,ttdf_7ac454e86368,exact,76,ttdf_7ac454e86368,True,True
77,ttdf_29bfff643f76,exact,77,ttdf_29bfff643f76,True,True
78,ttdf_626b144f651f,exact,78,ttdf_626b144f651f,True,True
79,ttdf_709a6c29cef8,exact,79,ttdf_709a6c29cef8,True,True
80,ttdf_9ddbf3736946,exact,80,ttdf_9ddbf3736946,True,True
81,ttdf_415f443311b4,exact,81,ttdf_415f443311b4,True,True
82,ttdf_1da08641a085,exact,82,ttdf_1da08641a085,True,True
83,ttdf_a7f57d6e2366,exact,83,ttdf_a7f57d6e2366,True,True
84,ttdf_f143ef6a8d1a,exact,84,ttdf_f143ef6a8d1a,True,True
85,ttdf_4bf9490a9e1e,exact,85,ttdf_4bf9490a9e1e,True,True
86,ttdf_4fb15030a374,exact,86,ttdf_4fb15030a374,True,True
87,ttdf_3bd0f2ffa9c7,exact,87,ttdf_3bd0f2ffa9c7,True,True
88,ttdf_a007fb88e5a8,exact,88,ttdf_a007fb88e5a8,True,True
89,ttdf_095955eab09a,exact,89,ttdf_095955eab09a,True,True
90,ttdf_ebcc48b28d17,exact,90,ttdf_ebcc48b28d17,True,True
91,ttdf_69b205909ba2,exact,91,ttdf_69b205909ba2,True,True
92,ttdf_91c17367ae01,exact,92,ttdf_91c17367ae01,True,True
93,ttdf_6d5d2df8e87e,exact,93,ttdf_6d5d2df8e87e,True,True
94,ttdf_8a92a1d9bda8,exact,94,ttdf_8a92a1d9bda8,True,True
95,ttdf_57b5548d9406,exact,95,ttdf_57b5548d9406,True,True
96,ttdf_adb3076a4249,exact,96,ttdf_adb3076a4249,True,True
97,ttdf_dfa5d83b46bf,exact,97,ttdf_dfa5d83b46bf,True,True
98,ttdf_83a61f0aa532,exact,98,ttdf_83a61f0aa532,True,True
99,ttdf_1ae91b3255c9,exact,99,ttdf_1ae91b3255c9,True,True
100,ttdf_535a92504ff3,exact,100,ttdf_535a92504ff3,True,True
101,ttdf_27a65d5730a0,exact,101,ttdf_27a65d5730a0,True,True
102,ttdf_7c7e391ab5eb,exact,102,ttdf_7c7e391ab5eb,True,True
103,ttdf_7c2600233dfc,exact,103,ttdf_7c2600233dfc,True,True
104,ttdf_7e3b94e5852d,exact,104,ttdf_7e3b94e5852d,True,True
105,ttdf_27aa7816b261,exact,105,ttdf_27aa7816b261,True,True
106,ttdf_9da280149954,exact,106,ttdf_9da280149954,True,True
107,ttdf_f44f7cd5c652,exact,107,ttdf_f44f7cd5c652,True,True
108,ttdf_b0286c035ff7,exact,108,ttdf_b0286c035ff7,True,True
109,ttdf_c60223f1aab8,exact,109,ttdf_c60223f1aab8,True,True
110,ttdf_49ff06c5abb1,exact,110,ttdf_49ff06c5abb1,True,True
111,ttdf_0969cde120d2,exact,111,ttdf_0969cde120d2,True,True
112,ttdf_b02ae36ee259,exact,112,ttdf_b02ae36ee259,True,True
113,ttdf_88e4f6fda445,exact,113,ttdf_88e4f6fda445,True,True
114,ttdf_945346f2dc33,exact,114,ttdf_945346f2dc33,True,True
115,ttdf_3bbe27d74a4e,exact,115,ttdf_3bbe27d74a4e,True,True
116,ttdf_a27ee767b260,exact,116,ttdf_a27ee767b260,True,True
117,ttdf_1316b84679bc,exact,117,ttdf_1316b84679bc,True,True
118,ttdf_fc21110cb919,exact,118,ttdf_fc21110cb919,True,True
119,ttdf_490928952434,exact,119,ttdf_490928952434,True,True
120,ttdf_cfcc0bc5aede,exact,120,ttdf_cfcc0bc5aede,True,True
121,ttdf_918a1b8e247c,exact,121,ttdf_918a1b8e247c,True,True
122,ttdf_9ab3dd3108dd,exact,122,ttdf_9ab3dd3108dd,True,True
123,ttdf_ca94c57fb5b6,exact,123,ttdf_ca94c57fb5b6,True,True
124,ttdf_4536494ea7cc,exact,124,ttdf_4536494ea7cc,True,True
125,ttdf_3bb23ee2abb5,exact,125,ttdf_3bb23ee2abb5,True,True
