task_id,split,recon_ok,recon_error,recomputed_call_count,declared_call_count,call_count_agrees,n_nodes,n_edges,depth,n_roots,n_leaves,n_join_nodes,n_fan_out_nodes,n_reused_outputs,n_late_edges,max_reference_distance,mean_reference_distance,n_parallel_branches,critical_path,recomputed_primary_pattern,recomputed_satisfied_patterns,undecidable_patterns,declared_structural_pattern,pattern_agrees,declared_actual_structural_pattern,actual_pattern_agrees,recomputed_answer_type,declared_answer_type,answer_type_agrees,gold_tool_surfaces,gold_primitives,capability_families,declared_workflow_id,declared_cell_tier,declared_query_mode,question_exact_hash,question_skeleton_hash,question_intent_hash
p42_27d92c59f907,train_master_3000,True,,5,5,True,5,4,5,1,1,0,0,0,0,1,1.0,1,0|1|2|3|4,REPEATED_PRIMITIVE,LINEAR_CHAIN|REPEATED_PRIMITIVE,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|shrink_by_rate|combine_amounts|exceeds_value,add|increase_by_percent|decrease_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,measurement.six_step_pipeline,STRUCTURAL_ENRICHMENT,GOAL_BASED_IMPLICIT,becde2b8aa9a56b8f97ec4c9561e1df0fca356626d4235b81d23a344d1be58fa,e8416eb0b6380b1e2253120b60111cacc87ba4f9c353e583ec7257fba35cef51,d46947ba3c21ea658463e57a0fe2a2b18f119deb384e41ccb412ff5a65c9aebc
p42_581eb37e54b9,train_master_3000,True,,2,2,True,2,1,2,1,1,0,0,0,0,1,1.0,1,0|1,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,grow_by_rate|exceeds_value,increase_by_percent|is_greater,arithmetic.binary|comparison,personal_finance.adjust_compare,CORE_PROFILE,GOAL_BASED_IMPLICIT,50436096bccb1915e96b33889bce70e5dbfe4ebaf6e5e5cb525261479a19b0cb,4319594aeaa7e0589d40f01b19a78d163c34014f7835df963dee2e2efa0beaa1,d9d7d2f3ab7848e1b01de72a391c36e7de8f4a12fb7d92784e705ebcee7dfa31
p42_a08884ebf211,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,measurement.four_step_adjust_total,STRUCTURAL_ENRICHMENT,SEMI_IMPLICIT,6d15115f2ab74507dcf3e7d56d6315a30290f189905719bb3de657963315612a,4f282818a798e6181d80ef048c7dd390178ab93cd5760a11c0cf6c7c62ff02cc,d890cf39df320f391f66617033fb3ca8ba32b7bebf0af579d0be27c22904dcfe
p42_c4567030efba,train_master_3000,True,,3,3,True,3,3,3,1,1,1,1,1,0,2,1.333333,1,0|1|2,DIAMOND,DIAMOND|FAN_IN_SINGLE|FAN_OUT|REUSE_EARLY_OUTPUT,TYPE_TRANSITION_CHAIN,,,,,float,,,shrink_by_rate|portion_by_rate|combine_amounts,decrease_by_percent|percent_of|add,arithmetic.binary|arithmetic.binary|arithmetic.binary,commerce.discount_tax_total,CORE_PROFILE,DOMAIN_GROUNDED_IMPLICIT,704ecad254f8e2e0c768e33f2709c17f11dfca49453842b38e9c1f85b75b96e0,964c5d0e9ee9829374018256a32ac7b7619ac752647f4a7be0f439052296350e,a581f41cf4a3fc451b38fecb1d5a9756adf91ce41028b65bc5042ae91aa1998b
p42_0844cf2e5d23,train_master_3000,True,,3,3,True,3,2,3,1,1,0,0,0,0,1,1.0,1,0|1|2,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|exceeds_value,add|increase_by_percent|is_greater,arithmetic.binary|arithmetic.binary|comparison,energy.scale_adjust_compare,CORE_PROFILE,OPERATION_EXPLICIT_GRAPH_IMPLICIT,e362ef47feeb3a8f7eb3cdf043b087a08f6b0442197ca81c00624f7b66c7a2ab,33ece7c9df9be6157b5ceae779c7eda2803687999e0a044df2925689046ad4f3,26ce3ab3e835407ef6493efe1800b8b63e2ae901b7fbe70d25e09fc21bfab1f4
p42_010540a6813f,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,rates_and_ratios.four_step_adjust_total,STRUCTURAL_ENRICHMENT,DOMAIN_GROUNDED_IMPLICIT,c411e608dac75d2b28ba1a5a29b4de8bbbf3211f513f30656e6759b7c1a917c5,9dc5d289c5ab94aaab8e22cd3ff3ee3008e6e699c37e265dae45bfa5d4e3cfdf,dfd2046662c14f3f0a5e83242ca206f0a2bab970f7b58dec14a6e0564ec9e94d
p42_06bbbee4c21f,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,travel_distance.four_step_adjust_total,STRUCTURAL_ENRICHMENT,GOAL_BASED_IMPLICIT,be2c0f4a7d7ea7246347749e01a14a9efe489dc2c70176f1e01b1b6a4a58ae46,06414d8e0900c1c2fe78c87c76df1428da569e70cecbb5aa36c5df9febda21d4,e7756da0e0dcfdb46996de35b1753599e3364da1af4b5e2cd359c8e7a61c54a7
p42_baf5e086ddb6,train_master_3000,True,,5,5,True,5,4,5,1,1,0,0,0,0,1,1.0,1,0|1|2|3|4,REPEATED_PRIMITIVE,LINEAR_CHAIN|REPEATED_PRIMITIVE,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|shrink_by_rate|combine_amounts|exceeds_value,add|increase_by_percent|decrease_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,measurement.six_step_pipeline,STRUCTURAL_ENRICHMENT,GOAL_BASED_IMPLICIT,14082eb6f4f32c8d44415f00d92db9a921f5a3aef09d0e08b4da7e79f2a84bc1,2def9d737e28c413b5fce2a9944b1657b1fe05f14d9a95937c38e9f9f3505344,d46947ba3c21ea658463e57a0fe2a2b18f119deb384e41ccb412ff5a65c9aebc
p42_53de3e87e3da,train_master_3000,True,,3,3,True,3,2,3,1,1,0,0,0,0,1,1.0,1,0|1|2,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,combine_amounts|grow_by_rate|exceeds_value,add|increase_by_percent|is_greater,arithmetic.binary|arithmetic.binary|comparison,energy.scale_adjust_compare,CORE_PROFILE,OPERATION_EXPLICIT_GRAPH_IMPLICIT,bcc2f21ebc718ed6f1cbd80da461e9ac338da7c3f1e72c63f284dc51c972a935,8cf1b695d549c7ac120a8f0cd2d043bc461a82150d812825f7cceeadf1b8e5f2,26ce3ab3e835407ef6493efe1800b8b63e2ae901b7fbe70d25e09fc21bfab1f4
p42_d2bb7985d188,train_master_3000,True,,4,4,True,4,3,4,1,1,0,0,0,0,1,1.0,1,0|1|2|3,LINEAR_CHAIN,LINEAR_CHAIN,TYPE_TRANSITION_CHAIN,,,,,boolean,,,scale_quantity|grow_by_rate|combine_amounts|exceeds_value,multiply|increase_by_percent|add|is_greater,arithmetic.binary|arithmetic.binary|arithmetic.binary|comparison,operations.four_step_adjust_total,STRUCTURAL_ENRICHMENT,OPERATION_EXPLICIT_GRAPH_IMPLICIT,ebf42a95775f83426b6a62bccbe85a76f80f55de0d9e6f1da41d03088f15f0ac,033071cb7a9d909005329a503b1cfd1deab6f6ca4ff969b32392f1fbdebbee79,7ad6704df2d63a884b8177de5244b05254ab7be8cedc1613330423b34bbf9858
