dataset,task_ref,call_count,call_bucket,query_mode,confidence,n_gold_operations,n_exactly_named_operations,n_lexically_cued_operations,n_implicit_operations,exact_operation_coverage,lexical_operation_coverage,implicit_operation_rate,sequence_leakage,lcs_ratio,kendall_agreement,exact_ordered_operation_coverage,adjacent_step_mappable_share,procedural_cue_count,step_number_count,explicit_intermediate_reference_count
d1_train_subset_300,ttdf_0982b2624c98,3,3,PROCEDURAL_PARTIAL,,,,,,0.6667,0.6667,0.3333,0.8333,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_a1f4522870c7,4,4,PROCEDURAL_PARTIAL,,,,,,0.5,0.75,0.25,0.875,1.0,1.0,,,8,1,3
d1_train_subset_300,ttdf_88d02f070bad,2,2,PROCEDURAL_PARTIAL,,,,,,0.5,0.5,0.5,0.125,0.0,0.0,,,3,0,1
d1_train_subset_300,ttdf_acf64105ab0f,5,5,PROCEDURAL_PARTIAL,,,,,,0.6,0.6,0.4,0.8,1.0,1.0,,,9,5,4
d1_train_subset_300,ttdf_52e02b0074e9,2,2,PROCEDURAL_EXPLICIT,,,,,,0.5,1.0,0.0,1.0,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_28600db1173f,8,6+,PROCEDURAL_PARTIAL,,,,,,0.625,0.75,0.25,0.875,1.0,1.0,,,8,1,7
d1_train_subset_300,ttdf_4bcc0bcb441d,5,5,PROCEDURAL_PARTIAL,,,,,,0.6,0.6,0.4,0.8,1.0,1.0,,,7,1,2
d1_train_subset_300,ttdf_c03e76b84f89,4,4,PROCEDURAL_PARTIAL,,,,,,0.5,0.75,0.25,0.875,1.0,1.0,,,4,1,3
d1_train_subset_300,ttdf_3890bd39e665,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_7fa1ac8fa957,5,5,PROCEDURAL_EXPLICIT,,,,,,0.8,1.0,0.0,1.0,1.0,1.0,,,10,6,4
d1_train_subset_300,ttdf_1897e88c19ac,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.8333,0.8333,0.1667,0.9167,1.0,1.0,,,12,1,5
d1_train_subset_300,ttdf_2ad0d860622d,2,2,PROCEDURAL_PARTIAL,,,,,,0.5,0.5,0.5,0.125,0.0,0.0,,,2,0,1
d1_train_subset_300,ttdf_a180adf5caad,3,3,SEMI_IMPLICIT,,,,,,0.3333,0.3333,0.6667,0.0833,0.0,0.0,,,3,0,1
d1_train_subset_300,ttdf_2460d1e882f0,8,6+,PROCEDURAL_EXPLICIT,,,,,,0.875,0.875,0.125,0.6506,0.7143,0.619,,,8,1,7
d1_train_subset_300,ttdf_6c5b125b6094,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.8333,1.0,0.0,1.0,1.0,1.0,,,10,0,4
d1_train_subset_300,ttdf_ccbe76d8ecaa,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.8333,0.8333,0.1667,0.7333,0.8,0.8,,,12,7,5
d1_train_subset_300,ttdf_0dbc7c25bb47,5,5,PROCEDURAL_EXPLICIT,,,,,,0.8,0.8,0.2,0.9,1.0,1.0,,,10,1,4
d1_train_subset_300,ttdf_287fde663010,8,6+,PROCEDURAL_PARTIAL,,,,,,0.625,0.75,0.25,0.875,1.0,1.0,,,16,1,7
d1_train_subset_300,ttdf_441384bb0445,5,5,PROCEDURAL_PARTIAL,,,,,,0.6,0.6,0.4,0.8,1.0,1.0,,,10,3,3
d1_train_subset_300,ttdf_178a8a0f527a,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,2,0,1
d1_train_subset_300,ttdf_8d038da60286,3,3,PROCEDURAL_EXPLICIT,,,,,,0.6667,1.0,0.0,1.0,1.0,1.0,,,4,0,1
d1_train_subset_300,ttdf_7a8cd7efbc21,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.6667,0.8333,0.1667,0.6933,0.8,0.6,,,9,0,4
d1_train_subset_300,ttdf_07480376bda3,3,3,PROCEDURAL_PARTIAL,,,,,,0.6667,0.6667,0.3333,0.8333,1.0,1.0,,,6,2,2
d1_train_subset_300,ttdf_230424364880,4,4,PROCEDURAL_PARTIAL,,,,,,0.75,0.75,0.25,0.875,1.0,1.0,,,7,1,3
d1_train_subset_300,ttdf_4b357fd5b95a,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,3,2,1
d1_train_subset_300,ttdf_3f2d4ea393f1,2,2,PROCEDURAL_EXPLICIT,,,,,,0.5,1.0,0.0,1.0,1.0,1.0,,,2,0,1
d1_train_subset_300,ttdf_342238ec5a2f,6,6+,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,0.7333,0.8333,0.3333,,,10,1,5
d1_train_subset_300,ttdf_4b29c1b00ae7,7,6+,PROCEDURAL_EXPLICIT,,,,,,0.7143,0.8571,0.1429,0.7005,0.8333,0.4667,,,15,2,6
d1_train_subset_300,ttdf_111e18412f56,4,4,PROCEDURAL_EXPLICIT,,,,,,0.75,1.0,0.0,1.0,1.0,1.0,,,8,2,3
d1_train_subset_300,ttdf_06ba5fd3d7c3,2,2,PROCEDURAL_EXPLICIT,,,,,,0.5,1.0,0.0,1.0,1.0,1.0,,,2,0,1
d1_train_subset_300,ttdf_073c6869b54b,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.6667,0.8333,0.1667,0.9167,1.0,1.0,,,11,1,5
d1_train_subset_300,ttdf_666553ac6372,4,4,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,8,5,3
d1_train_subset_300,ttdf_04b100a77d6b,4,4,PROCEDURAL_PARTIAL,,,,,,0.5,0.5,0.5,0.75,1.0,1.0,,,7,4,3
d1_train_subset_300,ttdf_44a69f3a000c,4,4,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,10,3,3
d1_train_subset_300,ttdf_69d78b25ecdb,7,6+,PROCEDURAL_PARTIAL,,,,,,0.5714,0.5714,0.4286,0.7857,1.0,1.0,,,14,8,6
d1_train_subset_300,ttdf_6b382eec9221,3,3,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,0.5333,0.6667,-0.3333,,,5,1,2
d1_train_subset_300,ttdf_32f8db136cdc,4,4,PROCEDURAL_EXPLICIT,,,,,,0.75,1.0,0.0,1.0,1.0,1.0,,,6,1,1
d1_train_subset_300,ttdf_91ce845dfc74,3,3,PROCEDURAL_PARTIAL,,,,,,0.6667,0.6667,0.3333,0.8333,1.0,1.0,,,3,1,2
d1_train_subset_300,ttdf_e53835bd8b41,3,3,PROCEDURAL_PARTIAL,,,,,,0.6667,0.6667,0.3333,0.8333,1.0,1.0,,,6,4,2
d1_train_subset_300,ttdf_69e7c7a49fab,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,2,0,1
d1_train_subset_300,ttdf_ee3338b844bc,8,6+,PROCEDURAL_EXPLICIT,,,,,,0.75,0.875,0.125,0.794,0.8571,0.8095,,,16,9,7
d1_train_subset_300,ttdf_a321a8fea7c6,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.8333,1.0,0.0,0.84,0.8333,0.8667,,,7,0,2
d1_train_subset_300,ttdf_aea8532a868d,2,2,PROCEDURAL_PARTIAL,,,,,,0.5,0.5,0.5,0.125,0.0,0.0,,,2,0,1
d1_train_subset_300,ttdf_66d5f1634190,6,6+,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,0.6533,0.6667,0.6,,,13,2,5
d1_train_subset_300,ttdf_56bf89459e7b,3,3,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,5,1,2
d1_train_subset_300,ttdf_2432f8fea920,6,6+,PROCEDURAL_EXPLICIT,,,,,,0.8333,1.0,0.0,1.0,1.0,1.0,,,11,1,5
d1_train_subset_300,ttdf_714fa6330c3c,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,1,0,0
d1_train_subset_300,ttdf_450ce5ca6048,8,6+,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,0.8571,0.875,0.7857,,,15,0,7
d1_train_subset_300,ttdf_8e5da6fd9015,3,3,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,6,4,2
d1_train_subset_300,ttdf_57d7f411a136,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,4,3,1
d1_train_subset_300,ttdf_b9c7c5612106,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_d445e31ec556,2,2,PROCEDURAL_EXPLICIT,,,,,,0.5,1.0,0.0,1.0,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_adc8691711e1,7,6+,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,0.8667,0.8571,0.9048,,,14,2,6
d1_train_subset_300,ttdf_b0378d970ec5,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,3,2,1
d1_train_subset_300,ttdf_9c88a0d5bac6,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_4afe482200e9,4,4,PROCEDURAL_PARTIAL,,,,,,0.5,0.5,0.5,0.75,1.0,1.0,,,3,0,2
d1_train_subset_300,ttdf_6664b63ddfd4,2,2,PROCEDURAL_EXPLICIT,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,,,3,0,1
d1_train_subset_300,ttdf_e5021edcbcdb,3,3,PROCEDURAL_PARTIAL,,,,,,0.3333,0.6667,0.3333,0.8333,1.0,1.0,,,6,1,2
