accepted_effective_groups,candidate_prompt_count,dead_group_rate_before_filtering,effective_group_rate_after_filtering,global_step,n_cells_touched,refill_rounds,rejected_groups,rollout_utilization,sampler,sampler_entropy,target_reached
16,32,0.0,1.0,0,14,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,1,22,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,2,32,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,3,38,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,4,47,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,5,54,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,6,59,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,7,65,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,8,69,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,9,74,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,10,78,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,11,83,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,12,84,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,13,85,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,14,86,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,15,91,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,16,93,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,17,98,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,18,102,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,19,106,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,20,106,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,21,107,1,0,1.0,uniform,1.0,True
16,32,0.1579,0.8421,22,108,1,3,0.8421,uniform,1.0,True
16,32,0.0,1.0,23,110,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,24,114,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,25,115,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,26,115,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,27,117,1,1,0.9412,uniform,1.0,True
16,32,0.1111,0.8889,28,118,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,29,119,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,30,120,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,31,120,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,32,122,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,33,124,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,34,126,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,35,127,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,36,128,1,2,0.8889,uniform,1.0,True
16,32,0.1111,0.8889,37,131,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,38,131,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,39,132,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,40,133,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,41,135,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,42,137,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,43,137,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,44,139,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,45,139,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,46,140,1,1,0.9412,uniform,1.0,True
16,32,0.1579,0.8421,47,140,1,3,0.8421,uniform,1.0,True
16,32,0.0,1.0,48,140,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,49,141,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,50,143,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,51,144,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,52,144,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,53,144,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,54,146,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,55,146,1,0,1.0,uniform,1.0,True
16,32,0.1579,0.8421,56,147,1,3,0.8421,uniform,1.0,True
16,32,0.0,1.0,57,148,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,58,148,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,59,148,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,60,148,1,1,0.9412,uniform,1.0,True
16,32,0.1111,0.8889,61,149,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,62,149,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,63,150,1,2,0.8889,uniform,1.0,True
16,32,0.0,1.0,64,151,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,65,151,1,2,0.8889,uniform,1.0,True
